Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
22.06889409	0.0	-66.0409745	-33.02048725	0.0															
21.87173502	0.0	-66.23813357	-33.11906679	0.0															
21.71919549	0.0	-66.3906731	-33.19533655	0.0															
21.6211282	0.0	-66.48874039	-33.24437019	0.0															
					14.85443273	0.0	-44.64688355	-22.32344177	0.0										
					14.6681251	0.0	-44.83319118	-22.41659559	0.0										
					14.62005912	0.0	-44.88125716	-22.44062858	0.0										
					14.54942203	0.0	-44.95189425	-22.47594712	0.0										
										9.8387984	0.0	-29.1323576	-14.5661788	0.0					
										9.66773687	0.0	-29.30341913	-14.65170956	0.0					
										9.60396216	0.0	-29.36719384	-14.68359692	0.0					
										9.56632356	0.0	-29.40483244	-14.70241622	0.0					
															7.53214615	0.0	-22.18662184	-11.09331092	0.0
															7.40646379	0.0	-22.31230419	-11.1561521	0.0
															7.3552665	0.0	-22.36350148	-11.18175074	0.0
															7.30273443	0.0	-22.41603356	-11.20801678	0.0
19.19952843	0.0	-58.2484048	-29.1242024	0.0															
18.95374444	0.0	-58.49418879	-29.2470944	0.0															
18.82960621	0.0	-58.61832702	-29.30916351	0.0															
18.74656361	0.0	-58.70136962	-29.35068481	0.0															
					13.53689289	0.0	-40.86273313	-20.43136656	0.0										
					13.41337385	0.0	-40.98625217	-20.49312609	0.0										
