,Datum,time,measurement,measurement,pressure_sample[bar],current[mA],voltage_th[mV],voltage_needle_th[mV],voltage[mV],voltage_needle[mV],R_ges / mOhm*cm²,R_bulk / mOhm*cm²,contact_area[cm2],p_Kraftsensor / ?,pressure_rounded[bar],sample_thickness[cm],parameters,[mV]_in_[V],main_resistance[mOhm],main_resistance_mean[mOhm],main_resistance_error[mOhm],flow_resistance[mOhm],flow_resistance_mean[mOhm],flow_resistance_error[mOhm],bulk_resistance[mOhm],bulk_resistance_mean[mOhm],bulk_resistance_error[mOhm],bulk_resistance_sub[mOhm],contact_resistance[mOhm],contact_resistance_mean[mOhm],contact_resistance_error[mOhm],vs_main_resistance[mOhm*cm],vs_main_resistance_mean[mOhm*cm],vs_main_resistance_error[mOhm*cm],vs_flow_resistance[mOhm*cm],vs_flow_resistance_mean[mOhm*cm],vs_flow_resistance_error[mOhm*cm],vs_bulk_resistance[mOhm*cm],vs_bulk_resistance_mean[mOhm*cm],vs_bulk_resistance_error[mOhm*cm],as_main_resistance[mOhm*cm2],as_main_resistance_mean[mOhm*cm2],as_main_resistance_error[mOhm*cm2],as_flow_resistance[mOhm*cm2],as_flow_resistance_mean[mOhm*cm2],as_flow_resistance_error[mOhm*cm2],as_bulk_resistance[mOhm*cm2],as_bulk_resistance_mean[mOhm*cm2],as_bulk_resistance_error[mOhm*cm2],as_contact_resistance[mOhm*cm2],as_contact_resistance_mean[mOhm*cm2],as_contact_resistance_error[mOhm*cm2],vs_main_conductance[S/cm],vs_main_conductance_mean[S/cm],vs_main_conductance_error[S/cm],vs_flow_conductance[S/cm],vs_flow_conductance_mean[S/cm],vs_flow_conductance_error[S/cm],vs_bulk_conductance[S/cm],vs_bulk_conductance_mean[S/cm],vs_bulk_conductance_error[S/cm],degradation_corr[mOhm],cycle,[mV] in [V]
0,25.08.2020,15:10:47, B1-1_mikrogestrahlt ,5Zyklen,1.985264,499.7,4.764641,4.773305,4.793073,4.796894,39.806391,39.838126,4.15,0.420299,2.0,0.1,H23o. Nadel,0.0,9.535003,9.51293158,0.01080571,9.53016134,9.50808991,0.01080571,0.0,0.0,0.0,0.0,4.76508067,4.75404495,0.00540286,395.70262457,394.7866604,0.44843698,395.50169541,394.58573123,0.44843698,0.0,0.0,0.0,39.57026246,39.47866604,0.0448437,39.55016954,39.45857312,0.0448437,0.0,0.0,0.0,19.77508477,19.72928656,0.02242185,2.52715028,2.53302346,0.00287753,2.52843417,2.53431332,0.00288046,inf,inf,,0.00484167,30.0,1000
1,25.08.2020,15:10:52, B1-1_mikrogestrahlt ,5Zyklen,2.006911,997.0,9.498561,9.506895,9.526993,9.530485,39.655988,39.670523,4.15,0.424263,2.0,0.1,H23o. Nadel,0.0,9.52714243,9.51293158,0.01080571,9.52230076,9.50808991,0.01080571,0.0,0.0,0.0,0.0,4.76115038,4.75404495,0.00540286,395.37641073,394.7866604,0.44843698,395.17548157,394.58573123,0.44843698,0.0,0.0,0.0,39.53764107,39.47866604,0.0448437,39.51754816,39.45857312,0.0448437,0.0,0.0,0.0,19.75877408,19.72928656,0.02242185,2.52923536,2.53302346,0.00287753,2.53052137,2.53431332,0.00288046,inf,inf,,0.00484167,30.0,1000
2,25.08.2020,15:10:55, B1-1_mikrogestrahlt ,5Zyklen,2.010332,1498.0,14.23097,14.232979,14.259401,14.256568,39.503682,39.495833,4.15,0.424997,2.0,0.1,H23o. Nadel,0.0,9.49997997,9.51293158,0.01080571,9.49513831,9.50808991,0.01080571,0.0,0.0,0.0,0.0,4.74756915,4.75404495,0.00540286,394.24916889,394.7866604,0.44843698,394.04823973,394.58573123,0.44843698,0.0,0.0,0.0,39.42491689,39.47866604,0.0448437,39.40482397,39.45857312,0.0448437,0.0,0.0,0.0,19.70241199,19.72928656,0.02242185,2.53646698,2.53302346,0.00287753,2.53776035,2.53431332,0.00288046,inf,inf,,0.00484167,30.0,1000
3,25.08.2020,15:10:58, B1-1_mikrogestrahlt ,5Zyklen,2.014126,1997.0,18.950733,18.960451,18.979165,18.98404,39.440928,39.451059,4.15,0.425809,2.0,0.1,H23o. Nadel,0.0,9.4896009,9.51293158,0.01080571,9.48475923,9.50808991,0.01080571,0.0,0.0,0.0,0.0,4.74237962,4.75404495,0.00540286,393.81843741,394.7866604,0.44843698,393.61750824,394.58573123,0.44843698,0.0,0.0,0.0,39.38184374,39.47866604,0.0448437,39.36175082,39.45857312,0.0448437,0.0,0.0,0.0,19.68087541,19.72928656,0.02242185,2.5392412,2.53302346,0.00287753,2.5405374,2.53431332,0.00288046,inf,inf,,0.00484167,30.0,1000
4,25.08.2020,15:11:02, B1-1_mikrogestrahlt ,5Zyklen,3.038124,499.6,3.780607,3.785911,3.809039,3.8095,31.640337,31.644168,4.15,0.642277,3.0,0.1,H23o. Nadel,0.0,7.56726781,7.56508993,0.00424281,7.56316781,7.56098993,0.00424281,0.0,0.0,0.0,0.0,3.78158391,3.78049496,0.00212141,314.04161429,313.95123195,0.17607674,313.87146429,313.78108195,0.17607674,0.0,0.0,0.0,31.40416143,31.39512319,0.01760767,31.38714643,31.37810819,0.01760767,0.0,0.0,0.0,15.69357321,15.6890541,0.00880384,3.18429136,3.18521108,0.00178596,3.18601757,3.18693829,0.0017879,inf,inf,,0.0041,30.0,1000
5,25.08.2020,15:11:06, B1-1_mikrogestrahlt ,5Zyklen,3.046942,998.0,7.560601,7.569132,7.589032,7.592722,31.557599,31.572941,4.15,0.644177,3.0,0.1,H23o. Nadel,0.0,7.57575251,7.56508993,0.00424281,7.57165251,7.56098993,0.00424281,0.0,0.0,0.0,0.0,3.78582625,3.78049496,0.00212141,314.39372896,313.95123195,0.17607674,314.22357896,313.78108195,0.17607674,0.0,0.0,0.0,31.4393729,31.39512319,0.01760767,31.4223579,31.37810819,0.01760767,0.0,0.0,0.0,15.71117895,15.6890541,0.00880384,3.18072502,3.18521108,0.00178596,3.18244736,3.18693829,0.0017879,inf,inf,,0.0041,30.0,1000
6,25.08.2020,15:11:09, B1-1_mikrogestrahlt ,5Zyklen,3.050923,1497.0,11.319448,11.329231,11.347879,11.352821,31.458717,31.472415,4.15,0.644992,3.0,0.1,H23o. Nadel,0.0,7.56142151,7.56508993,0.00424281,7.55732151,7.56098993,0.00424281,0.0,0.0,0.0,0.0,3.77866075,3.78049496,0.00212141,313.79899265,313.95123195,0.17607674,313.62884265,313.78108195,0.17607674,0.0,0.0,0.0,31.37989927,31.39512319,0.01760767,31.36288427,31.37810819,0.01760767,0.0,0.0,0.0,15.68144213,15.6890541,0.00880384,3.18675338,3.18521108,0.00178596,3.18848226,3.18693829,0.0017879,inf,inf,,0.0041,30.0,1000
7,25.08.2020,15:11:13, B1-1_mikrogestrahlt ,5Zyklen,3.054779,1997.0,15.089168,15.09322,15.1176,15.116809,31.416143,31.4145,4.15,0.645887,3.0,0.1,H23o. Nadel,0.0,7.55591788,7.56508993,0.00424281,7.55181788,7.56098993,0.00424281,0.0,0.0,0.0,0.0,3.77590894,3.78049496,0.00212141,313.57059189,313.95123195,0.17607674,313.40044189,313.78108195,0.17607674,0.0,0.0,0.0,31.35705919,31.39512319,0.01760767,31.34004419,31.37810819,0.01760767,0.0,0.0,0.0,15.67002209,15.6890541,0.00880384,3.18907457,3.18521108,0.00178596,3.19080597,3.18693829,0.0017879,inf,inf,,0.0041,30.0,1000
8,25.08.2020,15:11:16, B1-1_mikrogestrahlt ,5Zyklen,5.051833,499.7,2.922477,2.918886,2.950908,2.942475,24.507244,24.437207,4.15,1.068014,5.0,0.1,H23o. Nadel,0.0,5.84846308,5.84217161,0.003424,5.84515474,5.83886328,0.003424,0.0,0.0,0.0,0.0,2.92257737,2.91943164,0.001712,242.71121773,242.4501219,0.14209607,242.5739219,242.31282607,0.14209607,0.0,0.0,0.0,24.27112177,24.24501219,0.01420961,24.25739219,24.23128261,0.01420961,0.0,0.0,0.0,12.12869609,12.1156413,0.0071048,4.12012271,4.12456394,0.00241887,4.12245468,4.12690095,0.00242162,inf,inf,,0.00330833,30.0,1000
9,25.08.2020,15:11:20, B1-1_mikrogestrahlt ,5Zyklen,5.041398,998.0,5.834126,5.847863,5.862558,5.871452,24.378372,24.415358,4.15,1.065834,5.0,0.1,H23o. Nadel,0.0,5.84581764,5.84217161,0.003424,5.8425093,5.83886328,0.003424,0.0,0.0,0.0,0.0,2.92125465,2.91943164,0.001712,242.60143186,242.4501219,0.14209607,242.46413603,242.31282607,0.14209607,0.0,0.0,0.0,24.26014319,24.24501219,0.01420961,24.2464136,24.23128261,0.01420961,0.0,0.0,0.0,12.1232068,12.1156413,0.0071048,4.12198721,4.12456394,0.00241887,4.1243213,4.12690095,0.00242162,inf,inf,,0.00330833,30.0,1000
