,Datum,time,measurement,measurement,pressure_sample[bar],current[mA],voltage_th[mV],voltage_needle_th[mV],voltage[mV],voltage_needle[mV],R_ges / mOhm*cm²,R_bulk / mOhm*cm²,contact_area[cm2],p_Kraftsensor / ?,pressure_rounded[bar],sample_thickness[cm],parameters,[mV]_in_[V],main_resistance[mOhm],main_resistance_mean[mOhm],main_resistance_error[mOhm],flow_resistance[mOhm],flow_resistance_mean[mOhm],flow_resistance_error[mOhm],bulk_resistance[mOhm],bulk_resistance_mean[mOhm],bulk_resistance_error[mOhm],bulk_resistance_sub[mOhm],contact_resistance[mOhm],contact_resistance_mean[mOhm],contact_resistance_error[mOhm],vs_main_resistance[mOhm*cm],vs_main_resistance_mean[mOhm*cm],vs_main_resistance_error[mOhm*cm],vs_flow_resistance[mOhm*cm],vs_flow_resistance_mean[mOhm*cm],vs_flow_resistance_error[mOhm*cm],vs_bulk_resistance[mOhm*cm],vs_bulk_resistance_mean[mOhm*cm],vs_bulk_resistance_error[mOhm*cm],as_main_resistance[mOhm*cm2],as_main_resistance_mean[mOhm*cm2],as_main_resistance_error[mOhm*cm2],as_flow_resistance[mOhm*cm2],as_flow_resistance_mean[mOhm*cm2],as_flow_resistance_error[mOhm*cm2],as_bulk_resistance[mOhm*cm2],as_bulk_resistance_mean[mOhm*cm2],as_bulk_resistance_error[mOhm*cm2],as_contact_resistance[mOhm*cm2],as_contact_resistance_mean[mOhm*cm2],as_contact_resistance_error[mOhm*cm2],vs_main_conductance[S/cm],vs_main_conductance_mean[S/cm],vs_main_conductance_error[S/cm],vs_flow_conductance[S/cm],vs_flow_conductance_mean[S/cm],vs_flow_conductance_error[S/cm],vs_bulk_conductance[S/cm],vs_bulk_conductance_mean[S/cm],vs_bulk_conductance_error[S/cm],degradation_corr[mOhm],cycle,[mV] in [V]
0,17.12.2020,13:48:25, fem_1_Ni ,Messung 1,3.246953,499.9,11.094953,11.096139,11.094953,11.096139,92.106529,92.116374,4.15,0.263653,3.0,0.1,H23o. Nadel,0.0,22.19434487,21.26427458,0.34918186,22.19024487,21.26017458,0.34918186,0.0,0.0,0.0,0.0,11.09512243,10.63008729,0.17459093,921.06531206,882.46739528,14.49104728,920.89516206,882.29724528,14.49104728,0.0,0.0,0.0,92.10653121,88.24673953,1.44910473,92.08951621,88.22972453,1.44910473,0.0,0.0,0.0,46.0447581,44.11486226,0.72455236,1.08569934,1.13409102,0.01836834,1.08589994,1.13431008,0.01837538,inf,inf,,0.0041,15.0,1000
1,17.12.2020,13:48:29, fem_1_Ni ,Messung 1,3.25126,999.0,21.351236,21.343528,21.351236,21.343528,88.696328,88.664306,4.15,0.264557,3.0,0.1,H23o. Nadel,0.0,21.37260861,21.26427458,0.34918186,21.36850861,21.26017458,0.34918186,0.0,0.0,0.0,0.0,10.6842543,10.63008729,0.17459093,886.96325726,882.46739528,14.49104728,886.79310726,882.29724528,14.49104728,0.0,0.0,0.0,88.69632573,88.24673953,1.44910473,88.67931073,88.22972453,1.44910473,0.0,0.0,0.0,44.33965536,44.11486226,0.72455236,1.12744242,1.13409102,0.01836834,1.12765874,1.13431008,0.01837538,inf,inf,,0.0041,15.0,1000
2,17.12.2020,13:48:32, fem_1_Ni ,Messung 1,3.25098,1499.0,31.32721,31.32273,31.32721,31.32273,86.729767,86.717364,4.15,0.264501,3.0,0.1,H23o. Nadel,0.0,20.89873916,21.26427458,0.34918186,20.89463916,21.26017458,0.34918186,0.0,0.0,0.0,0.0,10.44731958,10.63008729,0.17459093,867.29767512,882.46739528,14.49104728,867.12752512,882.29724528,14.49104728,0.0,0.0,0.0,86.72976751,88.24673953,1.44910473,86.71275251,88.22972453,1.44910473,0.0,0.0,0.0,43.35637626,44.11486226,0.72455236,1.15300667,1.13409102,0.01836834,1.15323291,1.13431008,0.01837538,inf,inf,,0.0041,15.0,1000
3,17.12.2020,13:48:35, fem_1_Ni ,Messung 1,3.251058,1999.0,41.16222,41.161957,41.16222,41.161957,85.454334,85.453787,4.15,0.264514,3.0,0.1,H23o. Nadel,0.0,20.5914057,21.26427458,0.34918186,20.5873057,21.26017458,0.34918186,0.0,0.0,0.0,0.0,10.29365285,10.63008729,0.17459093,854.54333667,882.46739528,14.49104728,854.37318667,882.29724528,14.49104728,0.0,0.0,0.0,85.45433367,88.24673953,1.44910473,85.43731867,88.22972453,1.44910473,0.0,0.0,0.0,42.71865933,44.11486226,0.72455236,1.17021567,1.13409102,0.01836834,1.17044872,1.13431008,0.01837538,inf,inf,,0.0041,15.0,1000
4,17.12.2020,13:48:38, fem_1_Ni ,Messung 1,6.057234,499.9,4.060516,4.060714,4.060516,4.060714,33.709024,33.710665,4.15,1.280576,6.0,0.1,H23o. Nadel,0.0,8.12265653,7.88609964,0.0857105,8.11961486,7.88305797,0.0857105,0.0,0.0,0.0,0.0,4.05980743,3.94152899,0.04285525,337.09024605,327.27313507,3.5569856,336.96401688,327.14690591,3.5569856,0.0,0.0,0.0,33.7090246,32.72731351,0.35569856,33.69640169,32.71469059,0.35569856,0.0,0.0,0.0,16.84820084,16.3573453,0.17784928,2.96656463,3.05662157,0.03281375,2.96767592,3.05780178,0.03283894,inf,inf,,0.00304167,15.0,1000
5,17.12.2020,13:48:43, fem_1_Ni ,Messung 1,6.051932,999.0,7.887155,7.885508,7.887155,7.885508,32.764456,32.757614,4.15,1.279508,6.0,0.1,H23o. Nadel,0.0,7.89505005,7.88609964,0.0857105,7.89200838,7.88305797,0.0857105,0.0,0.0,0.0,0.0,3.94600419,3.94152899,0.04285525,327.64457708,327.27313507,3.5569856,327.51834791,327.14690591,3.5569856,0.0,0.0,0.0,32.76445771,32.72731351,0.35569856,32.75183479,32.71469059,0.35569856,0.0,0.0,0.0,16.3759174,16.3573453,0.17784928,3.05208775,3.05662157,0.03281375,3.05326406,3.05780178,0.03283894,inf,inf,,0.00304167,15.0,1000
6,17.12.2020,13:48:46, fem_1_Ni ,Messung 1,6.061635,1499.0,11.684412,11.673871,11.684412,11.673871,32.348439,32.319255,4.15,1.281497,6.0,0.1,H23o. Nadel,0.0,7.79480454,7.88609964,0.0857105,7.79176287,7.88305797,0.0857105,0.0,0.0,0.0,0.0,3.89588143,3.94152899,0.04285525,323.48438826,327.27313507,3.5569856,323.35815909,327.14690591,3.5569856,0.0,0.0,0.0,32.34843883,32.72731351,0.35569856,32.33581591,32.71469059,0.35569856,0.0,0.0,0.0,16.16790795,16.3573453,0.17784928,3.09133929,3.05662157,0.03281375,3.09254606,3.05780178,0.03283894,inf,inf,,0.00304167,15.0,1000
7,17.12.2020,13:48:49, fem_1_Ni ,Messung 1,6.056177,1999.0,15.456043,15.454396,15.456043,15.454396,32.087333,32.083914,4.15,1.280323,6.0,0.1,H23o. Nadel,0.0,7.73188744,7.88609964,0.0857105,7.72884578,7.88305797,0.0857105,0.0,0.0,0.0,0.0,3.86442289,3.94152899,0.04285525,320.87332891,327.27313507,3.5569856,320.74709975,327.14690591,3.5569856,0.0,0.0,0.0,32.08733289,32.72731351,0.35569856,32.07470997,32.71469059,0.35569856,0.0,0.0,0.0,16.03735499,16.3573453,0.17784928,3.11649461,3.05662157,0.03281375,3.1177211,3.05780178,0.03283894,inf,inf,,0.00304167,15.0,1000
8,17.12.2020,13:48:53, fem_1_Ni ,Messung 1,9.053153,499.9,2.9264,2.909336,2.9264,2.909336,24.293977,24.152319,4.15,1.913947,9.0,0.1,H23o. Nadel,0.0,5.85397079,5.70856368,0.05285509,5.85145413,5.70604701,0.05285509,0.0,0.0,0.0,0.0,2.92572706,2.85302351,0.02642755,242.93978796,236.90539277,2.19348632,242.83534629,236.8009511,2.19348632,0.0,0.0,0.0,24.2939788,23.69053928,0.21934863,24.28353463,23.68009511,0.21934863,0.0,0.0,0.0,12.14176731,11.84004756,0.10967432,4.11624629,4.22216899,0.03869326,4.11801665,4.22403213,0.03872724,inf,inf,,0.00251667,15.0,1000
9,17.12.2020,13:48:57, fem_1_Ni ,Messung 1,9.054412,999.0,5.709181,5.706085,5.709181,5.706085,23.71682,23.703956,4.15,1.914193,9.0,0.1,H23o. Nadel,0.0,5.7148959,5.70856368,0.05285509,5.71237923,5.70604701,0.05285509,0.0,0.0,0.0,0.0,2.85618961,2.85302351,0.02642755,237.16817968,236.90539277,2.19348632,237.06373801,236.8009511,2.19348632,0.0,0.0,0.0,23.71681797,23.69053928,0.21934863,23.7063738,23.68009511,0.21934863,0.0,0.0,0.0,11.8531869,11.84004756,0.10967432,4.21641723,4.22216899,0.03869326,4.21827483,4.22403213,0.03872724,inf,inf,,0.00251667,15.0,1000
