,Datum,time,measurement,measurement,pressure_sample[bar],current[mA],voltage_th[mV],voltage_needle_th[mV],voltage[mV],voltage_needle[mV],R_ges / mOhm*cm²,R_bulk / mOhm*cm²,contact_area[cm2],p_Kraftsensor / ?,pressure_rounded[bar],sample_thickness[cm],parameters,[mV]_in_[V],main_resistance[mOhm],main_resistance_mean[mOhm],main_resistance_error[mOhm],flow_resistance[mOhm],flow_resistance_mean[mOhm],flow_resistance_error[mOhm],bulk_resistance[mOhm],bulk_resistance_mean[mOhm],bulk_resistance_error[mOhm],bulk_resistance_sub[mOhm],contact_resistance[mOhm],contact_resistance_mean[mOhm],contact_resistance_error[mOhm],vs_main_resistance[mOhm*cm],vs_main_resistance_mean[mOhm*cm],vs_main_resistance_error[mOhm*cm],vs_flow_resistance[mOhm*cm],vs_flow_resistance_mean[mOhm*cm],vs_flow_resistance_error[mOhm*cm],vs_bulk_resistance[mOhm*cm],vs_bulk_resistance_mean[mOhm*cm],vs_bulk_resistance_error[mOhm*cm],as_main_resistance[mOhm*cm2],as_main_resistance_mean[mOhm*cm2],as_main_resistance_error[mOhm*cm2],as_flow_resistance[mOhm*cm2],as_flow_resistance_mean[mOhm*cm2],as_flow_resistance_error[mOhm*cm2],as_bulk_resistance[mOhm*cm2],as_bulk_resistance_mean[mOhm*cm2],as_bulk_resistance_error[mOhm*cm2],as_contact_resistance[mOhm*cm2],as_contact_resistance_mean[mOhm*cm2],as_contact_resistance_error[mOhm*cm2],vs_main_conductance[S/cm],vs_main_conductance_mean[S/cm],vs_main_conductance_error[S/cm],vs_flow_conductance[S/cm],vs_flow_conductance_mean[S/cm],vs_flow_conductance_error[S/cm],vs_bulk_conductance[S/cm],vs_bulk_conductance_mean[S/cm],vs_bulk_conductance_error[S/cm],degradation_corr[mOhm],cycle,[mV] in [V]
0,24.11.2020,16:32:34, B1_Cr2_1801_2 ,Zyklen5,2.002883,499.8,8.625564,0.013038,8.653576,0.018704,64.927794,0.140338,3.75,0.382908,2.0,0.1,H23o. Nadel,0.0,17.25803121,16.99403372,0.09654441,17.25313955,16.98914206,0.09654441,0.0,0.0,0.0,0.0,8.62656977,8.49457103,0.04827221,647.17617047,637.2762646,3.62041551,646.99273297,637.0928271,3.62041551,0.0,0.0,0.0,64.71761705,63.72762646,0.36204155,64.6992733,63.70928271,0.36204155,0.0,0.0,0.0,32.34963665,31.85464135,0.18102078,1.54517432,1.5693292,0.00886192,1.54561241,1.56978114,0.008867,inf,inf,,0.00489167,15.0,1000
1,24.11.2020,16:32:39, B1_Cr2_1801_2 ,Zyklen5,2.022949,999.0,16.990853,0.013302,17.018866,0.018968,63.884632,0.071201,3.75,0.386492,2.0,0.1,H23o. Nadel,0.0,17.00786086,16.99403372,0.09654441,17.00296919,16.98914206,0.09654441,0.0,0.0,0.0,0.0,8.5014846,8.49457103,0.04827221,637.79478228,637.2762646,3.62041551,637.61134478,637.0928271,3.62041551,0.0,0.0,0.0,63.77947823,63.72762646,0.36204155,63.76113448,63.70928271,0.36204155,0.0,0.0,0.0,31.88056724,31.85464135,0.18102078,1.56790245,1.5693292,0.00886192,1.56835352,1.56978114,0.008867,inf,inf,,0.00489167,15.0,1000
2,24.11.2020,16:32:42, B1_Cr2_1801_2 ,Zyklen5,2.026632,1499.0,25.327366,-0.001588,25.355379,0.004078,63.430735,0.010202,3.75,0.387153,2.0,0.1,H23o. Nadel,0.0,16.89617478,16.99403372,0.09654441,16.89128312,16.98914206,0.09654441,0.0,0.0,0.0,0.0,8.44564156,8.49457103,0.04827221,633.60655437,637.2762646,3.62041551,633.42311687,637.0928271,3.62041551,0.0,0.0,0.0,63.36065544,63.72762646,0.36204155,63.34231169,63.70928271,0.36204155,0.0,0.0,0.0,31.67115584,31.85464135,0.18102078,1.5782665,1.5693292,0.00886192,1.57872356,1.56978114,0.008867,inf,inf,,0.00489167,15.0,1000
3,24.11.2020,16:32:45, B1_Cr2_1801_2 ,Zyklen5,2.032569,1999.0,33.611322,0.00981,33.639335,0.015476,63.105306,0.029032,3.75,0.38828,2.0,0.1,H23o. Nadel,0.0,16.81406803,16.99403372,0.09654441,16.80917637,16.98914206,0.09654441,0.0,0.0,0.0,0.0,8.40458818,8.49457103,0.04827221,630.52755128,637.2762646,3.62041551,630.34411378,637.0928271,3.62041551,0.0,0.0,0.0,63.05275513,63.72762646,0.36204155,63.03441138,63.70928271,0.36204155,0.0,0.0,0.0,31.51720569,31.85464135,0.18102078,1.58597352,1.5693292,0.00886192,1.58643506,1.56978114,0.008867,inf,inf,,0.00489167,15.0,1000
4,24.11.2020,16:32:49, B1_Cr2_1801_2 ,Zyklen5,3.048561,499.8,6.578039,0.011259,6.606052,0.016925,49.565216,0.126992,3.75,0.582353,3.0,0.1,H23o. Nadel,0.0,13.16134254,13.1231593,0.01806613,13.15724254,13.1190593,0.01806613,0.0,0.0,0.0,0.0,6.57862127,6.55952965,0.00903307,493.55034514,492.11847358,0.67747996,493.39659514,491.96472358,0.67747996,0.0,0.0,0.0,49.35503451,49.21184736,0.067748,49.33965951,49.19647236,0.067748,0.0,0.0,0.0,24.66982976,24.59823618,0.033874,2.02613575,2.03204257,0.00279778,2.02676713,2.03267763,0.00279953,inf,inf,,0.0041,15.0,1000
5,24.11.2020,16:32:53, B1_Cr2_1801_2 ,Zyklen5,3.058508,999.0,13.131596,0.008756,13.159608,0.014422,49.39793,0.054136,3.75,0.584299,3.0,0.1,H23o. Nadel,0.0,13.14474074,13.1231593,0.01806613,13.14064074,13.1190593,0.01806613,0.0,0.0,0.0,0.0,6.57032037,6.55952965,0.00903307,492.92777778,492.11847358,0.67747996,492.77402778,491.96472358,0.67747996,0.0,0.0,0.0,49.29277778,49.21184736,0.067748,49.27740278,49.19647236,0.067748,0.0,0.0,0.0,24.63870139,24.59823618,0.033874,2.02869476,2.03204257,0.00279778,2.02932773,2.03267763,0.00279953,inf,inf,,0.0041,15.0,1000
6,24.11.2020,16:32:56, B1_Cr2_1801_2 ,Zyklen5,3.064084,1499.0,19.642072,0.012841,19.670085,0.018507,49.208019,0.046298,3.75,0.585341,3.0,0.1,H23o. Nadel,0.0,13.1034503,13.1231593,0.01806613,13.0993503,13.1190593,0.01806613,0.0,0.0,0.0,0.0,6.54967515,6.55952965,0.00903307,491.37938626,492.11847358,0.67747996,491.22563626,491.96472358,0.67747996,0.0,0.0,0.0,49.13793863,49.21184736,0.067748,49.12256363,49.19647236,0.067748,0.0,0.0,0.0,24.56128181,24.59823618,0.033874,2.0350874,2.03204257,0.00279778,2.03572437,2.03267763,0.00279953,inf,inf,,0.0041,15.0,1000
7,24.11.2020,16:33:00, B1_Cr2_1801_2 ,Zyklen5,3.070658,1998.0,26.140041,0.004935,26.168054,0.010601,49.114216,0.019896,3.75,0.586587,3.0,0.1,H23o. Nadel,0.0,13.0831036,13.1231593,0.01806613,13.0790036,13.1190593,0.01806613,0.0,0.0,0.0,0.0,6.5395018,6.55952965,0.00903307,490.61638514,492.11847358,0.67747996,490.46263514,491.96472358,0.67747996,0.0,0.0,0.0,49.06163851,49.21184736,0.067748,49.04626351,49.19647236,0.067748,0.0,0.0,0.0,24.52313176,24.59823618,0.033874,2.03825235,2.03204257,0.00279778,2.0388913,2.03267763,0.00279953,inf,inf,,0.0041,15.0,1000
8,24.11.2020,16:33:03, B1_Cr2_1801_2 ,Zyklen5,5.066073,499.8,4.973581,0.011194,5.001594,0.01686,37.526966,0.126497,3.75,0.967767,5.0,0.1,H23o. Nadel,0.0,9.95114246,9.94233963,0.00702029,9.94784246,9.93903963,0.00702029,0.0,0.0,0.0,0.0,4.97392123,4.96951982,0.00351014,373.16784214,372.83773631,0.26326075,373.04409214,372.71398631,0.26326075,0.0,0.0,0.0,37.31678421,37.28377363,0.02632608,37.30440921,37.27139863,0.02632608,0.0,0.0,0.0,18.65220461,18.63569932,0.01316304,2.67975931,2.68213595,0.00189426,2.68064827,2.68302649,0.00189552,inf,inf,,0.0033,15.0,1000
9,24.11.2020,16:33:07, B1_Cr2_1801_2 ,Zyklen5,5.054887,999.0,9.946526,-0.001324,9.974539,0.004342,37.441963,0.016298,3.75,0.965633,5.0,0.1,H23o. Nadel,0.0,9.95648248,9.94233963,0.00702029,9.95318248,9.93903963,0.00702029,0.0,0.0,0.0,0.0,4.97659124,4.96951982,0.00351014,373.36809309,372.83773631,0.26326075,373.24434309,372.71398631,0.26326075,0.0,0.0,0.0,37.33680931,37.28377363,0.02632608,37.32443431,37.27139863,0.02632608,0.0,0.0,0.0,18.66221715,18.63569932,0.01316304,2.67832206,2.68213595,0.00189426,2.67921006,2.68302649,0.00189552,inf,inf,,0.0033,15.0,1000
