,Datum,time,measurement,measurement,pressure_sample[bar],current[mA],voltage_th[mV],voltage_needle_th[mV],voltage[mV],voltage_needle[mV],R_ges / mOhm*cm²,R_bulk / mOhm*cm²,contact_area[cm2],p_Kraftsensor / ?,pressure_rounded[bar],sample_thickness[cm],parameters,[mV]_in_[V],main_resistance[mOhm],main_resistance_mean[mOhm],main_resistance_error[mOhm],flow_resistance[mOhm],flow_resistance_mean[mOhm],flow_resistance_error[mOhm],bulk_resistance[mOhm],bulk_resistance_mean[mOhm],bulk_resistance_error[mOhm],bulk_resistance_sub[mOhm],contact_resistance[mOhm],contact_resistance_mean[mOhm],contact_resistance_error[mOhm],vs_main_resistance[mOhm*cm],vs_main_resistance_mean[mOhm*cm],vs_main_resistance_error[mOhm*cm],vs_flow_resistance[mOhm*cm],vs_flow_resistance_mean[mOhm*cm],vs_flow_resistance_error[mOhm*cm],vs_bulk_resistance[mOhm*cm],vs_bulk_resistance_mean[mOhm*cm],vs_bulk_resistance_error[mOhm*cm],as_main_resistance[mOhm*cm2],as_main_resistance_mean[mOhm*cm2],as_main_resistance_error[mOhm*cm2],as_flow_resistance[mOhm*cm2],as_flow_resistance_mean[mOhm*cm2],as_flow_resistance_error[mOhm*cm2],as_bulk_resistance[mOhm*cm2],as_bulk_resistance_mean[mOhm*cm2],as_bulk_resistance_error[mOhm*cm2],as_contact_resistance[mOhm*cm2],as_contact_resistance_mean[mOhm*cm2],as_contact_resistance_error[mOhm*cm2],vs_main_conductance[S/cm],vs_main_conductance_mean[S/cm],vs_main_conductance_error[S/cm],vs_flow_conductance[S/cm],vs_flow_conductance_mean[S/cm],vs_flow_conductance_error[S/cm],vs_bulk_conductance[S/cm],vs_bulk_conductance_mean[S/cm],vs_bulk_conductance_error[S/cm],degradation_corr[mOhm],cycle,[mV] in [V]
0,01.02.2021,12:38:28, MusterI_max3001_stahl ,2 Zyklen,5.058442,499.9,5.238289,217.499961,5.394918,217.499961,44.786775,1805.610798,4.15,1.069167,5.0,0.1,H23o. Nadel,0.0,10.47867373,10.3742638,0.03891227,10.47539873,10.3709888,0.03891227,0.0,0.0,0.0,0.0,5.23769937,5.1854944,0.01945614,434.86495999,430.5319479,1.61485927,434.72904749,430.3960354,1.61485927,0.0,0.0,0.0,43.486496,43.05319479,0.16148593,43.47290475,43.03960354,0.16148593,0.0,0.0,0.0,21.73645237,21.51980177,0.08074296,2.29956444,2.32280568,0.00868073,2.30028337,2.32353925,0.0086862,inf,inf,,0.003275,39.0,1000
1,01.02.2021,12:38:33, MusterI_max3001_stahl ,2 Zyklen,5.051522,999.0,10.376601,217.499961,10.533231,217.499961,43.756663,903.528366,4.15,1.067951,5.0,0.1,H23o. Nadel,0.0,10.38698799,10.3742638,0.03891227,10.38371299,10.3709888,0.03891227,0.0,0.0,0.0,0.0,5.19185649,5.1854944,0.01945614,431.0600015,430.5319479,1.61485927,430.924089,430.3960354,1.61485927,0.0,0.0,0.0,43.10600015,43.05319479,0.16148593,43.0924089,43.03960354,0.16148593,0.0,0.0,0.0,21.54620445,21.51980177,0.08074296,2.31986266,2.32280568,0.00868073,2.32059434,2.32353925,0.0086862,inf,inf,,0.003275,39.0,1000
2,01.02.2021,12:38:36, MusterI_max3001_stahl ,2 Zyklen,5.049827,1499.0,15.479869,217.499961,15.636498,217.499961,43.289838,602.151326,4.15,1.067599,5.0,0.1,H23o. Nadel,0.0,10.3267972,10.3742638,0.03891227,10.3235222,10.3709888,0.03891227,0.0,0.0,0.0,0.0,5.1617611,5.1854944,0.01945614,428.56208372,430.5319479,1.61485927,428.42617122,430.3960354,1.61485927,0.0,0.0,0.0,42.85620837,43.05319479,0.16148593,42.84261712,43.03960354,0.16148593,0.0,0.0,0.0,21.42130856,21.51980177,0.08074296,2.33338421,2.32280568,0.00868073,2.33412445,2.32353925,0.0086862,inf,inf,,0.003275,39.0,1000
3,01.02.2021,12:38:39, MusterI_max3001_stahl ,2 Zyklen,5.05401,1999.0,20.598888,217.499961,20.755517,217.499961,43.089243,451.538188,4.15,1.068451,5.0,0.1,H23o. Nadel,0.0,10.3045963,10.3742638,0.03891227,10.3013213,10.3709888,0.03891227,0.0,0.0,0.0,0.0,5.15066065,5.1854944,0.01945614,427.64074637,430.5319479,1.61485927,427.50483387,430.3960354,1.61485927,0.0,0.0,0.0,42.76407464,43.05319479,0.16148593,42.75048339,43.03960354,0.16148593,0.0,0.0,0.0,21.37524169,21.51980177,0.08074296,2.33841141,2.32280568,0.00868073,2.33915484,2.32353925,0.0086862,inf,inf,,0.003275,39.0,1000
4,01.02.2021,12:38:42, MusterI_max3001_stahl ,2 Zyklen,10.048622,499.9,3.272197,217.499961,3.428826,217.499961,28.464951,1805.610798,4.15,2.124351,10.0,0.1,H23o. Nadel,0.0,6.54570314,6.49316312,0.01898755,6.54330314,6.49076312,0.01898755,0.0,0.0,0.0,0.0,3.27165157,3.24538156,0.00949378,271.64668034,269.46626952,0.78798339,271.54708034,269.36666952,0.78798339,0.0,0.0,0.0,27.16466803,26.94662695,0.07879834,27.15470803,26.93666695,0.07879834,0.0,0.0,0.0,13.57735402,13.46833348,0.03939917,3.68125242,3.7111345,0.0108161,3.68260266,3.71250678,0.01082409,inf,inf,,0.0024,39.0,1000
5,01.02.2021,12:38:47, MusterI_max3001_stahl ,2 Zyklen,10.048902,999.0,6.486845,217.499961,6.643474,217.499961,27.598014,903.528366,4.15,2.124436,10.0,0.1,H23o. Nadel,0.0,6.49333834,6.49316312,0.01898755,6.49093834,6.49076312,0.01898755,0.0,0.0,0.0,0.0,3.24546917,3.24538156,0.00949378,269.47354104,269.46626952,0.78798339,269.37394104,269.36666952,0.78798339,0.0,0.0,0.0,26.9473541,26.94662695,0.07879834,26.9373941,26.93666695,0.07879834,0.0,0.0,0.0,13.46869705,13.46833348,0.03939917,3.71093947,3.7111345,0.0108161,3.71231158,3.71250678,0.01082409,inf,inf,,0.0024,39.0,1000
6,01.02.2021,12:38:50, MusterI_max3001_stahl ,2 Zyklen,10.030147,1499.0,9.707819,217.499961,9.864448,217.499961,27.309845,602.151326,4.15,2.120514,10.0,0.1,H23o. Nadel,0.0,6.4761968,6.49316312,0.01898755,6.4737968,6.49076312,0.01898755,0.0,0.0,0.0,0.0,3.2368984,3.24538156,0.00949378,268.76216711,269.46626952,0.78798339,268.66256711,269.36666952,0.78798339,0.0,0.0,0.0,26.87621671,26.94662695,0.07879834,26.86625671,26.93666695,0.07879834,0.0,0.0,0.0,13.43312836,13.46833348,0.03939917,3.72076178,3.7111345,0.0108161,3.72214116,3.71250678,0.01082409,inf,inf,,0.0024,39.0,1000
7,01.02.2021,12:38:53, MusterI_max3001_stahl ,2 Zyklen,10.023927,1999.0,12.908371,217.499961,13.065,217.499961,27.123436,451.538188,4.15,2.119117,10.0,0.1,H23o. Nadel,0.0,6.45741421,6.49316312,0.01898755,6.45501421,6.49076312,0.01898755,0.0,0.0,0.0,0.0,3.2275071,3.24538156,0.00949378,267.98268959,269.46626952,0.78798339,267.88308959,269.36666952,0.78798339,0.0,0.0,0.0,26.79826896,26.94662695,0.07879834,26.78830896,26.93666695,0.07879834,0.0,0.0,0.0,13.39415448,13.46833348,0.03939917,3.73158431,3.7111345,0.0108161,3.73297173,3.71250678,0.01082409,inf,inf,,0.0024,39.0,1000
8,01.02.2021,12:38:57, MusterI_max3001_stahl ,2 Zyklen,20.038529,499.9,1.960525,217.499961,2.117155,217.499961,17.575898,1805.610798,4.15,4.236328,20.0,0.1,H23o. Nadel,0.0,3.92183437,3.91223174,0.00729082,3.92013437,3.91053174,0.00729082,0.0,0.0,0.0,0.0,1.96006718,1.95526587,0.00364541,162.75612623,162.35761718,0.30256923,162.68557623,162.28706718,0.30256923,0.0,0.0,0.0,16.27561262,16.23576172,0.03025692,16.26855762,16.22870672,0.03025692,0.0,0.0,0.0,8.13427881,8.11435336,0.01512846,6.14416196,6.15930728,0.01151665,6.14682643,6.16198493,0.01152668,inf,inf,,0.0017,39.0,1000
9,01.02.2021,12:39:01, MusterI_max3001_stahl ,2 Zyklen,20.03629,999.0,3.917063,217.499961,4.073693,217.499961,16.922747,903.528366,4.15,4.235904,20.0,0.1,H23o. Nadel,0.0,3.92098398,3.91223174,0.00729082,3.91928398,3.91053174,0.00729082,0.0,0.0,0.0,0.0,1.95964199,1.95526587,0.00364541,162.72083534,162.35761718,0.30256923,162.65028534,162.28706718,0.30256923,0.0,0.0,0.0,16.27208353,16.23576172,0.03025692,16.26502853,16.22870672,0.03025692,0.0,0.0,0.0,8.13251427,8.11435336,0.01512846,6.14549451,6.15930728,0.01151665,6.14816013,6.16198493,0.01152668,inf,inf,,0.0017,39.0,1000
