,Datum,time,measurement,measurement,pressure_sample[bar],current[mA],voltage_th[mV],voltage_needle_th[mV],voltage[mV],voltage_needle[mV],R_ges / mOhm*cm²,R_bulk / mOhm*cm²,contact_area[cm2],p_Kraftsensor / ?,pressure_rounded[bar],sample_thickness[cm],parameters,[mV]_in_[V],main_resistance[mOhm],main_resistance_mean[mOhm],main_resistance_error[mOhm],flow_resistance[mOhm],flow_resistance_mean[mOhm],flow_resistance_error[mOhm],bulk_resistance[mOhm],bulk_resistance_mean[mOhm],bulk_resistance_error[mOhm],bulk_resistance_sub[mOhm],contact_resistance[mOhm],contact_resistance_mean[mOhm],contact_resistance_error[mOhm],vs_main_resistance[mOhm*cm],vs_main_resistance_mean[mOhm*cm],vs_main_resistance_error[mOhm*cm],vs_flow_resistance[mOhm*cm],vs_flow_resistance_mean[mOhm*cm],vs_flow_resistance_error[mOhm*cm],vs_bulk_resistance[mOhm*cm],vs_bulk_resistance_mean[mOhm*cm],vs_bulk_resistance_error[mOhm*cm],as_main_resistance[mOhm*cm2],as_main_resistance_mean[mOhm*cm2],as_main_resistance_error[mOhm*cm2],as_flow_resistance[mOhm*cm2],as_flow_resistance_mean[mOhm*cm2],as_flow_resistance_error[mOhm*cm2],as_bulk_resistance[mOhm*cm2],as_bulk_resistance_mean[mOhm*cm2],as_bulk_resistance_error[mOhm*cm2],as_contact_resistance[mOhm*cm2],as_contact_resistance_mean[mOhm*cm2],as_contact_resistance_error[mOhm*cm2],vs_main_conductance[S/cm],vs_main_conductance_mean[S/cm],vs_main_conductance_error[S/cm],vs_flow_conductance[S/cm],vs_flow_conductance_mean[S/cm],vs_flow_conductance_error[S/cm],vs_bulk_conductance[S/cm],vs_bulk_conductance_mean[S/cm],vs_bulk_conductance_error[S/cm],degradation_corr[mOhm],cycle,[mV] in [V]
0,24.08.2020,09:27:36, P80 beidseitig_(ohneTS),Test,2.075508,499.7,200.153731,0.031156,200.153731,0.031156,1502.054212,0.233812,3.75,0.396493,2.0,0.1,H23m. Nadel,0.0,400.54779067,218.13400702,64.89491379,400.54289901,218.12911536,64.89491379,0.06234941,0.03260139,0.01006505,0.0,200.2402748,109.04825698,32.44263504,15020.54215029,8180.02526343,2433.55926719,15020.35871279,8179.84182593,2433.55926719,0.0,0.0,0.0,1502.05421503,818.00252634,243.35592672,1502.03587128,817.98418259,243.35592672,0.23381029,0.12225522,0.03774395,750.9010305,408.93096369,121.65988139,0.06657549,0.15439102,0.03851204,0.06657631,0.15439621,0.03851425,427.69717978,1011.48239368,219.10324719,0.00489167,15.0,1000
1,24.08.2020,09:27:39, P80 beidseitig_(ohneTS),Test,2.073442,998.0,217.499961,0.024041,217.499961,0.024041,817.259372,0.090334,3.75,0.396082,2.0,0.1,H23m. Nadel,0.0,217.93583267,218.13400702,64.89491379,217.930941,218.12911536,64.89491379,0.02408918,0.03260139,0.01006505,0.0,108.95342591,109.04825698,32.44263504,8172.59372495,8180.02526343,2433.55926719,8172.41028745,8179.84182593,2433.55926719,0.0,0.0,0.0,817.25937249,818.00252634,243.35592672,817.24102874,817.98418259,243.35592672,0.09033442,0.12225522,0.03774395,408.57534716,408.93096369,121.65988139,0.12236018,0.15439102,0.03851204,0.12236292,0.15439621,0.03851425,1106.9977677,1011.48239368,219.10324719,0.00489167,15.0,1000
2,24.08.2020,09:27:42, P80 beidseitig_(ohneTS),Test,2.073752,1498.0,217.499961,0.038996,217.499961,0.038996,544.47587,0.097621,3.75,0.396161,2.0,0.1,H23m. Nadel,0.0,145.19356542,218.13400702,64.89491379,145.18867375,218.12911536,64.89491379,0.02603204,0.03260139,0.01006505,0.0,72.58132086,109.04825698,32.44263504,5444.75870327,8180.02526343,2433.55926719,5444.57526577,8179.84182593,2433.55926719,0.0,0.0,0.0,544.47587033,818.00252634,243.35592672,544.45752658,817.98418259,243.35592672,0.09762016,0.12225522,0.03774395,272.17995321,408.93096369,121.65988139,0.18366287,0.15439102,0.03851204,0.18366906,0.15439621,0.03851425,1024.37856874,1011.48239368,219.10324719,0.00489167,15.0,1000
3,24.08.2020,09:27:45, P80 beidseitig_(ohneTS),Test,2.075387,1998.0,217.499961,0.035834,217.499961,0.035834,408.220648,0.067256,3.75,0.396437,2.0,0.1,H23m. Nadel,0.0,108.85883934,218.13400702,64.89491379,108.85394767,218.12911536,64.89491379,0.01793493,0.03260139,0.01006505,0.0,54.41800637,109.04825698,32.44263504,4082.20647523,8180.02526343,2433.55926719,4082.02303773,8179.84182593,2433.55926719,0.0,0.0,0.0,408.22064752,818.00252634,243.35592672,408.20230377,817.98418259,243.35592672,0.06725601,0.12225522,0.03774395,204.06752388,408.93096369,121.65988139,0.24496556,0.15439102,0.03851204,0.24497657,0.15439621,0.03851425,1486.85605849,1011.48239368,219.10324719,0.00489167,15.0,1000
4,24.08.2020,09:27:49, P80 beidseitig_(ohneTS),Test,3.059128,499.7,101.66369,0.030827,101.66369,0.030827,762.935436,0.23134,3.75,0.584276,3.0,0.1,H23m. Nadel,0.0,203.44944967,153.93792478,19.53324413,203.44534967,153.93382478,19.53324413,0.06169101,0.03521602,0.01009375,0.0,101.69182933,76.94930438,9.76172423,7629.35436262,5772.67217924,732.49665488,7629.20061262,5772.51842924,732.49665488,0.0,0.0,0.0,762.93543626,577.26721792,73.24966549,762.92006126,577.25184292,73.24966549,0.2313413,0.13206009,0.03785157,381.34435998,288.55989142,36.60646585,0.13107269,0.18205276,0.02370476,0.13107533,0.18205811,0.02370615,432.26176188,975.08907645,271.39407441,0.0041,15.0,1000
5,24.08.2020,09:27:53, P80 beidseitig_(ohneTS),Test,3.064497,998.0,157.933345,0.039458,157.933345,0.039458,593.436917,0.148262,3.75,0.585598,3.0,0.1,H23m. Nadel,0.0,158.24984469,153.93792478,19.53324413,158.24574469,153.93382478,19.53324413,0.03953707,0.03521602,0.01009375,0.0,79.10310381,76.94930438,9.76172423,5934.36917585,5772.67217924,732.49665488,5934.21542585,5772.51842924,732.49665488,0.0,0.0,0.0,593.43691759,577.26721792,73.24966549,593.42154259,577.25184292,73.24966549,0.14826403,0.13206009,0.03785157,296.63663928,288.55989142,36.60646585,0.16850991,0.18205276,0.02370476,0.16851427,0.18205811,0.02370615,674.47243483,975.08907645,271.39407441,0.0041,15.0,1000
6,24.08.2020,09:27:56, P80 beidseitig_(ohneTS),Test,3.068025,1498.0,217.499961,0.035373,217.499961,0.035373,544.47587,0.08855,3.75,0.586048,3.0,0.1,H23m. Nadel,0.0,145.19356542,153.93792478,19.53324413,145.18946542,153.93382478,19.53324413,0.02361348,0.03521602,0.01009375,0.0,72.58292597,76.94930438,9.76172423,5444.75870327,5772.67217924,732.49665488,5444.60495327,5772.51842924,732.49665488,0.0,0.0,0.0,544.47587033,577.26721792,73.24966549,544.46049533,577.25184292,73.24966549,0.08855057,0.13206009,0.03785157,272.18597238,288.55989142,36.60646585,0.18366287,0.18205276,0.02370476,0.18366805,0.18205811,0.02370615,1129.29824065,975.08907645,271.39407441,0.0041,15.0,1000
7,24.08.2020,09:28:00, P80 beidseitig_(ohneTS),Test,3.066872,1998.0,217.499961,0.032013,217.499961,0.032013,408.220648,0.060084,3.75,0.58569,3.0,0.1,H23m. Nadel,0.0,108.85883934,153.93792478,19.53324413,108.85473934,153.93382478,19.53324413,0.01602252,0.03521602,0.01009375,0.0,54.41935841,76.94930438,9.76172423,4082.20647523,5772.67217924,732.49665488,4082.05272523,5772.51842924,732.49665488,0.0,0.0,0.0,408.22064752,577.26721792,73.24966549,408.20527252,577.25184292,73.24966549,0.06008446,0.13206009,0.03785157,204.07259403,288.55989142,36.60646585,0.24496556,0.18205276,0.02370476,0.24497479,0.18205811,0.02370615,1664.32386843,975.08907645,271.39407441,0.0041,15.0,1000
8,24.08.2020,09:28:03, P80 beidseitig_(ohneTS),Test,5.045766,499.7,78.37607,0.046507,78.37607,0.046507,588.17343,0.349012,3.75,0.963854,5.0,0.1,H23m. Nadel,0.0,156.84624775,131.69478928,9.82844514,156.84294775,131.69148928,9.82844514,0.09306984,0.04191983,0.01783628,0.0,78.37493895,65.82478473,4.90608169,5881.73429057,4938.55459802,368.5666926,5881.61054057,4938.43084802,368.5666926,0.0,0.0,0.0,588.17342906,493.8554598,36.85666926,588.16105406,493.8430848,36.85666926,0.34901191,0.15719934,0.06688603,293.90602108,246.84294273,18.39780633,0.17001788,0.20589527,0.0153425,0.17002146,0.20590061,0.01534329,286.52317572,1020.82895065,340.91233271,0.0033,15.0,1000
9,24.08.2020,09:28:07, P80 beidseitig_(ohneTS),Test,5.059017,998.0,129.177539,0.039128,129.177539,0.039128,485.386545,0.147025,3.75,0.966715,5.0,0.1,H23m. Nadel,0.0,129.43641182,131.69478928,9.82844514,129.43311182,131.69148928,9.82844514,0.03920641,0.04191983,0.01783628,0.0,64.69695271,65.82478473,4.90608169,4853.86544339,4938.55459802,368.5666926,4853.74169339,4938.43084802,368.5666926,0.0,0.0,0.0,485.38654434,493.8554598,36.85666926,485.37416934,493.8430848,36.85666926,0.14702405,0.15719934,0.06688603,242.61357265,246.84294273,18.39780633,0.20602137,0.20589527,0.0153425,0.20602662,0.20590061,0.01534329,680.16083964,1020.82895065,340.91233271,0.0033,15.0,1000
