,Datum,time,measurement,measurement,pressure_sample[bar],current[mA],voltage_th[mV],voltage_needle_th[mV],voltage[mV],voltage_needle[mV],R_ges / mOhm*cm²,R_bulk / mOhm*cm²,contact_area[cm2],p_Kraftsensor / ?,pressure_rounded[bar],sample_thickness[cm],parameters,[mV]_in_[V],main_resistance[mOhm],main_resistance_mean[mOhm],main_resistance_error[mOhm],flow_resistance[mOhm],flow_resistance_mean[mOhm],flow_resistance_error[mOhm],bulk_resistance[mOhm],bulk_resistance_mean[mOhm],bulk_resistance_error[mOhm],bulk_resistance_sub[mOhm],contact_resistance[mOhm],contact_resistance_mean[mOhm],contact_resistance_error[mOhm],vs_main_resistance[mOhm*cm],vs_main_resistance_mean[mOhm*cm],vs_main_resistance_error[mOhm*cm],vs_flow_resistance[mOhm*cm],vs_flow_resistance_mean[mOhm*cm],vs_flow_resistance_error[mOhm*cm],vs_bulk_resistance[mOhm*cm],vs_bulk_resistance_mean[mOhm*cm],vs_bulk_resistance_error[mOhm*cm],as_main_resistance[mOhm*cm2],as_main_resistance_mean[mOhm*cm2],as_main_resistance_error[mOhm*cm2],as_flow_resistance[mOhm*cm2],as_flow_resistance_mean[mOhm*cm2],as_flow_resistance_error[mOhm*cm2],as_bulk_resistance[mOhm*cm2],as_bulk_resistance_mean[mOhm*cm2],as_bulk_resistance_error[mOhm*cm2],as_contact_resistance[mOhm*cm2],as_contact_resistance_mean[mOhm*cm2],as_contact_resistance_error[mOhm*cm2],vs_main_conductance[S/cm],vs_main_conductance_mean[S/cm],vs_main_conductance_error[S/cm],vs_flow_conductance[S/cm],vs_flow_conductance_mean[S/cm],vs_flow_conductance_error[S/cm],vs_bulk_conductance[S/cm],vs_bulk_conductance_mean[S/cm],vs_bulk_conductance_error[S/cm],degradation_corr[mOhm],cycle,[mV] in [V]
0,17.08.2020,12:49:47, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),1.970993,499.4,59.378495,3.000888,62.191102,3.008292,466.993658,22.589294,3.75,0.375994,2.0,0.1,H23m. Nadel,0.0,118.8996696,88.48805127,10.15094727,118.8948696,88.48325127,10.15094727,6.00898678,3.14452411,1.00658557,0.0,56.44294141,42.66936358,4.61063445,4458.73761013,3318.30192262,380.66052272,4458.55761013,3318.12192262,380.66052272,0.0,0.0,0.0,445.87376101,331.83019226,38.06605227,445.85576101,331.81219226,38.06605227,22.53370044,11.7919654,3.77469589,211.66103029,160.01011343,17.28987918,0.22427873,0.31137829,0.02912426,0.22428778,0.3113962,0.02912723,4.43779752,11.0197415,2.84549129,0.0048,50.0,1000
1,17.08.2020,12:49:52, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),1.990337,997.0,76.751624,3.033794,79.56423,3.041198,299.263655,11.43881,3.75,0.380222,2.0,0.1,H23m. Nadel,0.0,76.98257172,88.48805127,10.15094727,76.97777172,88.48325127,10.15094727,3.04292277,3.14452411,1.00658557,0.0,36.96742447,42.66936358,4.61063445,2886.84643932,3318.30192262,380.66052272,2886.66643932,3318.12192262,380.66052272,0.0,0.0,0.0,288.68464393,331.83019226,38.06605227,288.66664393,331.81219226,38.06605227,11.41096038,11.7919654,3.77469589,138.62784178,160.01011343,17.28987918,0.34639875,0.31137829,0.02912426,0.34642035,0.3113962,0.02912723,8.76350427,11.0197415,2.84549129,0.0048,50.0,1000
2,17.08.2020,12:49:55, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),2.024206,1497.0,117.53957,3.015696,120.352177,3.0231,301.483408,7.572895,3.75,0.386696,2.0,0.1,H23m. Nadel,0.0,78.51674683,88.48805127,10.15094727,78.51194683,88.48325127,10.15094727,2.01449299,3.14452411,1.00658557,0.0,38.24872692,42.66936358,4.61063445,2944.37800601,3318.30192262,380.66052272,2944.19800601,3318.12192262,380.66052272,0.0,0.0,0.0,294.4378006,331.83019226,38.06605227,294.4198006,331.81219226,38.06605227,7.5543487,11.7919654,3.77469589,143.43272595,160.01011343,17.28987918,0.3396303,0.31137829,0.02912426,0.33965107,0.3113962,0.02912723,13.23740855,11.0197415,2.84549129,0.0048,50.0,1000
3,17.08.2020,12:49:58, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),2.051965,1996.0,158.788221,3.017341,161.600828,3.024745,303.60877,5.682762,3.75,0.392025,2.0,0.1,H23m. Nadel,0.0,79.55321693,88.48805127,10.15094727,79.54841693,88.48325127,10.15094727,1.51169389,3.14452411,1.00658557,0.0,39.01836152,42.66936358,4.61063445,2983.24563502,3318.30192262,380.66052272,2983.06563502,3318.12192262,380.66052272,0.0,0.0,0.0,298.3245635,331.83019226,38.06605227,298.3065635,331.81219226,38.06605227,5.66885208,11.7919654,3.77469589,146.31885571,160.01011343,17.28987918,0.33520538,0.31137829,0.02912426,0.33522561,0.3113962,0.02912723,17.64025566,11.0197415,2.84549129,0.0048,50.0,1000
4,17.08.2020,12:50:02, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),3.063052,499.4,35.039007,3.025568,37.851614,3.032972,284.228177,22.774617,3.75,0.585157,3.0,0.1,H23m. Nadel,0.0,70.16220865,66.16079265,1.33842161,70.15816698,66.15675099,1.33842161,6.05840609,3.14713905,1.02118289,0.0,32.04988045,31.50480597,0.28111421,2631.08282439,2481.02972445,50.19081041,2630.93126189,2480.87816195,50.19081041,0.0,0.0,0.0,263.10828244,248.10297245,5.01908104,263.09312619,248.0878162,5.01908104,22.71902283,11.80177142,3.82943583,120.18705168,118.14302239,1.0541783,0.38007165,0.40353503,0.00785291,0.38009355,0.40355974,0.00785385,4.40159776,11.073352,2.87614797,0.00404167,50.0,1000
5,17.08.2020,12:50:06, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),3.065891,997.0,64.334254,3.020632,67.146861,3.028036,252.558405,11.389302,3.75,0.585647,3.0,0.1,H23m. Nadel,0.0,64.52783751,66.16079265,1.33842161,64.52379585,66.15675099,1.33842161,3.02972116,3.14713905,1.02118289,0.0,30.74703734,31.50480597,0.28111421,2419.79390672,2481.02972445,50.19081041,2419.64234422,2480.87816195,50.19081041,0.0,0.0,0.0,241.97939067,248.10297245,5.01908104,241.96423442,248.0878162,5.01908104,11.36145436,11.80177142,3.82943583,115.30139003,118.14302239,1.0541783,0.41325833,0.40353503,0.00785291,0.41328422,0.40355974,0.00785385,8.80169007,11.073352,2.87614797,0.00404167,50.0,1000
6,17.08.2020,12:50:09, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),3.064859,1497.0,97.145595,2.98937,99.958202,2.996774,250.396298,7.506949,3.75,0.585489,3.0,0.1,H23m. Nadel,0.0,64.89351703,66.16079265,1.33842161,64.88947537,66.15675099,1.33842161,1.99690715,3.14713905,1.02118289,0.0,31.44628411,31.50480597,0.28111421,2433.50688878,2481.02972445,50.19081041,2433.35532628,2480.87816195,50.19081041,0.0,0.0,0.0,243.35068888,248.10297245,5.01908104,243.33553263,248.0878162,5.01908104,7.4884018,11.80177142,3.82943583,117.92356541,118.14302239,1.0541783,0.41092959,0.40353503,0.00785291,0.41095519,0.40355974,0.00785385,13.35398428,11.073352,2.87614797,0.00404167,50.0,1000
7,17.08.2020,12:50:13, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),3.066786,1997.0,129.924036,3.002533,132.736643,3.009937,249.255088,5.65211,3.75,0.585831,3.0,0.1,H23m. Nadel,0.0,65.05960741,66.16079265,1.33842161,65.05556574,66.15675099,1.33842161,1.50352178,3.14713905,1.02118289,0.0,31.77602198,31.50480597,0.28111421,2439.73527792,2481.02972445,50.19081041,2439.58371542,2480.87816195,50.19081041,0.0,0.0,0.0,243.97352779,248.10297245,5.01908104,243.95837154,248.0878162,5.01908104,5.63820669,11.80177142,3.82943583,119.16008243,118.14302239,1.0541783,0.40988053,0.40353503,0.00785291,0.409906,0.40355974,0.00785385,17.7361359,11.073352,2.87614797,0.00404167,50.0,1000
8,17.08.2020,12:50:16, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),5.063991,499.4,29.184894,3.032149,31.997501,3.039553,240.26958,22.824036,3.75,0.967408,5.0,0.1,H23m. Nadel,0.0,58.4399159,56.57963447,0.62023534,58.43664923,56.5763678,0.62023534,6.0715839,3.14885324,1.02479596,0.0,26.18253267,26.71375728,0.24219022,2191.49684622,2121.73629268,23.25882543,2191.37434622,2121.61379268,23.25882543,0.0,0.0,0.0,219.14968462,212.17362927,2.32588254,219.13743462,212.16137927,2.32588254,22.76843963,11.80819964,3.84298486,98.1844975,100.17658982,0.90821331,0.45630912,0.47147844,0.0050577,0.45633463,0.47150568,0.00505827,4.3920445,11.08370918,2.88629828,0.00326667,50.0,1000
9,17.08.2020,12:50:20, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),5.067811,997.0,55.762042,3.017341,58.574649,3.024745,220.31588,11.376924,3.75,0.968086,5.0,0.1,H23m. Nadel,0.0,55.92983149,56.57963447,0.62023534,55.92656483,56.5763678,0.62023534,3.02642026,3.14885324,1.02479596,0.0,26.45007228,26.71375728,0.24219022,2097.36868104,2121.73629268,23.25882543,2097.24618104,2121.61379268,23.25882543,0.0,0.0,0.0,209.7368681,212.17362927,2.32588254,209.7246181,212.16137927,2.32588254,11.34907598,11.80819964,3.84298486,99.18777106,100.17658982,0.90821331,0.4767879,0.47147844,0.0050577,0.47681574,0.47150568,0.00505827,8.81129003,11.08370918,2.88629828,0.00326667,50.0,1000
10,17.08.2020,12:50:24, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),5.056487,1497.0,83.764056,2.991016,86.576663,2.99842,216.875409,7.511071,3.75,0.965949,5.0,0.1,H23m. Nadel,0.0,55.95461323,56.57963447,0.62023534,55.95134656,56.5763678,0.62023534,1.99800668,3.14885324,1.02479596,0.0,26.97666994,26.71375728,0.24219022,2098.29799599,2121.73629268,23.25882543,2098.17549599,2121.61379268,23.25882543,0.0,0.0,0.0,209.8297996,212.17362927,2.32588254,209.8175496,212.16137927,2.32588254,7.49252505,11.80819964,3.84298486,101.16251227,100.17658982,0.90821331,0.47657673,0.47147844,0.0050577,0.47660456,0.47150568,0.00505827,13.34663539,11.08370918,2.88629828,0.00326667,50.0,1000
11,17.08.2020,12:50:27, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),5.055816,1997.0,111.820372,2.994306,114.632979,3.00171,215.259725,5.636662,3.75,0.965847,5.0,0.1,H23m. Nadel,0.0,55.99417727,56.57963447,0.62023534,55.9909106,56.5763678,0.62023534,1.4994021,3.14885324,1.02479596,0.0,27.24575425,26.71375728,0.24219022,2099.78164747,2121.73629268,23.25882543,2099.65914747,2121.61379268,23.25882543,0.0,0.0,0.0,209.97816475,212.17362927,2.32588254,209.96591475,212.16137927,2.32588254,5.62275789,11.80819964,3.84298486,102.17157843,100.17658982,0.90821331,0.47623999,0.47147844,0.0050577,0.47626778,0.47150568,0.00505827,17.78486679,11.08370918,2.88629828,0.00326667,50.0,1000
12,17.08.2020,12:50:30, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),6.06145,499.4,26.086722,3.023922,28.899329,3.031326,217.005376,22.762262,3.75,1.15798,6.0,0.1,H23m. Nadel,0.0,52.23612735,51.39602578,0.28051612,52.23312735,51.39302578,0.28051612,6.05511013,3.15229182,1.0183421,0.0,23.08900861,24.12036698,0.37528567,1958.85477573,1927.35096662,10.5193545,1958.74227573,1927.23846662,10.5193545,0.0,0.0,0.0,195.88547757,192.73509666,1.05193545,195.87422757,192.72384666,1.05193545,22.706663,11.82109431,3.81878287,86.58378229,90.45137617,1.40732127,0.51050237,0.51889274,0.00280182,0.51053169,0.51892303,0.00280214,4.40399367,11.03703752,2.86804559,0.003,50.0,1000
13,17.08.2020,12:50:35, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),6.058232,997.0,51.007014,3.022277,53.819621,3.029681,202.430871,11.39549,3.75,1.157352,6.0,0.1,H23m. Nadel,0.0,51.16049549,51.39602578,0.28051612,51.15749549,51.39302578,0.28051612,3.03137111,3.15229182,1.0183421,0.0,24.06306219,24.12036698,0.37528567,1918.51858074,1927.35096662,10.5193545,1918.40608074,1927.23846662,10.5193545,0.0,0.0,0.0,191.85185807,192.73509666,1.05193545,191.84060807,192.72384666,1.05193545,11.36764168,11.82109431,3.81878287,90.2364832,90.45137617,1.40732127,0.5212355,0.51889274,0.00280182,0.52126607,0.51892303,0.00280214,8.79689938,11.03703752,2.86804559,0.003,50.0,1000
14,17.08.2020,12:50:38, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),6.062448,1497.0,76.504823,3.023922,79.31743,3.031326,198.690956,7.593503,3.75,1.15819,6.0,0.1,H23m. Nadel,0.0,51.10542619,51.39602578,0.28051612,51.10242619,51.39302578,0.28051612,2.01998798,3.15229182,1.0183421,0.0,24.5412191,24.12036698,0.37528567,1916.45348196,1927.35096662,10.5193545,1916.34098196,1927.23846662,10.5193545,0.0,0.0,0.0,191.6453482,192.73509666,1.05193545,191.6340982,192.72384666,1.05193545,7.57495491,11.82109431,3.81878287,92.02957164,90.45137617,1.40732127,0.52179717,0.51889274,0.00280182,0.5218278,0.51892303,0.00280214,13.20139871,11.03703752,2.86804559,0.003,50.0,1000
15,17.08.2020,12:50:41, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),6.057802,1997.0,102.010862,3.000888,104.823469,3.008292,196.839263,5.64902,3.75,1.15723,6.0,0.1,H23m. Nadel,0.0,51.08205408,51.39602578,0.28051612,51.07905408,51.39302578,0.28051612,1.50269805,3.15229182,1.0183421,0.0,24.78817802,24.12036698,0.37528567,1915.57702804,1927.35096662,10.5193545,1915.46452804,1927.23846662,10.5193545,0.0,0.0,0.0,191.5577028,192.73509666,1.05193545,191.5464528,192.72384666,1.05193545,5.63511768,11.82109431,3.81878287,92.95566756,90.45137617,1.40732127,0.52203591,0.51889274,0.00280182,0.52206657,0.51892303,0.00280214,17.74585834,11.03703752,2.86804559,0.003,50.0,1000
16,17.08.2020,12:50:44, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),10.028546,499.4,19.521824,3.027213,22.334431,3.034617,167.709481,22.786972,3.75,1.915663,10.0,0.1,H23m. Nadel,0.0,39.09055667,38.47661664,0.20508177,39.08815667,38.47421664,0.20508177,6.06170004,3.16211834,1.01841488,0.0,16.51322831,17.65604915,0.41215636,1465.89587505,1442.87312393,7.6905664,1465.80587505,1442.78312393,7.6905664,0.0,0.0,0.0,146.58958751,144.28731239,0.76905664,146.58058751,144.27831239,0.76905664,22.73137515,11.85794376,3.81905579,61.92460618,66.21018432,1.54558635,0.68217669,0.69312009,0.00365589,0.68221858,0.69316333,0.00365635,4.39920591,10.99446965,2.85753113,0.0024,50.0,1000
17,17.08.2020,12:50:49, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),10.04517,997.0,38.163504,3.043666,40.976111,3.05107,154.122784,11.475942,3.75,1.918977,10.0,0.1,H23m. Nadel,0.0,38.27833902,38.47661664,0.20508177,38.27593902,38.47421664,0.20508177,3.05282447,3.16211834,1.01841488,0.0,17.61155727,17.65604915,0.41215636,1435.43771314,1442.87312393,7.6905664,1435.34771314,1442.78312393,7.6905664,0.0,0.0,0.0,143.54377131,144.28731239,0.76905664,143.53477131,144.27831239,0.76905664,11.44809178,11.85794376,3.81905579,66.04333977,66.21018432,1.54558635,0.69665161,0.69312009,0.00365589,0.6966953,0.69316333,0.00365635,8.73508022,10.99446965,2.85753113,0.0024,50.0,1000
18,17.08.2020,12:50:52, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),10.042744,1497.0,57.33663,3.032149,60.149237,3.039553,150.674442,7.614111,3.75,1.918494,10.0,0.1,H23m. Nadel,0.0,38.30102204,38.47661664,0.20508177,38.29862204,38.47421664,0.20508177,2.02548363,3.16211834,1.01841488,0.0,18.13656921,17.65604915,0.41215636,1436.28832665,1442.87312393,7.6905664,1436.19832665,1442.78312393,7.6905664,0.0,0.0,0.0,143.62883267,144.28731239,0.76905664,143.61983267,144.27831239,0.76905664,7.59556363,11.85794376,3.81905579,68.01213452,66.21018432,1.54558635,0.69623904,0.69312009,0.00365589,0.69628267,0.69316333,0.00365635,13.16557992,10.99446965,2.85753113,0.0024,50.0,1000
19,17.08.2020,12:50:55, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),10.051658,1997.0,76.358388,3.012405,79.170995,3.019809,148.668618,5.670648,3.75,1.920223,10.0,0.1,H23m. Nadel,0.0,38.23654882,38.47661664,0.20508177,38.23414882,38.47421664,0.20508177,1.5084652,3.16211834,1.01841488,0.0,18.36284181,17.65604915,0.41215636,1433.87058087,1442.87312393,7.6905664,1433.78058087,1442.78312393,7.6905664,0.0,0.0,0.0,143.38705809,144.28731239,0.76905664,143.37805809,144.27831239,0.76905664,5.65674449,11.85794376,3.81905579,68.8606568,66.21018432,1.54558635,0.69741301,0.69312009,0.00365589,0.69745679,0.69316333,0.00365635,17.67801253,10.99446965,2.85753113,0.0024,50.0,1000
20,17.08.2020,12:50:59, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),12.036607,499.4,17.121276,3.022277,19.933882,3.029681,149.683739,22.749907,3.75,2.299271,12.0,0.1,H23m. Nadel,0.0,34.28369243,33.76615238,0.17458586,34.28149243,33.76395238,0.17458586,6.05181618,3.1449969,1.01755118,0.0,14.11483813,15.30947774,0.42299197,1285.63846616,1266.23071412,6.54696979,1285.55596616,1266.14821412,6.54696979,0.0,0.0,0.0,128.56384662,126.62307141,0.65469698,128.55559662,126.61482141,0.65469698,22.69431067,11.79373836,3.81581694,52.93064297,57.41054153,1.58621989,0.77782365,0.78980823,0.00404486,0.77787356,0.7898597,0.00404539,4.40639072,11.04859747,2.85160607,0.0022,50.0,1000
21,17.08.2020,12:51:03, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),12.039137,997.0,33.553267,2.995952,36.365873,3.003356,136.782372,11.296473,3.75,2.300018,12.0,0.1,H23m. Nadel,0.0,33.65422969,33.76615238,0.17458586,33.65202969,33.76395238,0.17458586,3.0049669,3.1449969,1.01755118,0.0,15.32353139,15.30947774,0.42299197,1262.03361334,1266.23071412,6.54696979,1261.95111334,1266.14821412,6.54696979,0.0,0.0,0.0,126.20336133,126.62307141,0.65469698,126.19511133,126.61482141,0.65469698,11.26862588,11.79373836,3.81581694,57.46324273,57.41054153,1.58621989,0.79237192,0.78980823,0.00404486,0.79242372,0.7898597,0.00404539,8.87419647,11.04859747,2.85160607,0.0022,50.0,1000
22,17.08.2020,12:51:06, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),12.048431,1496.0,50.269902,3.01405,53.082509,3.021454,133.061103,7.573833,3.75,2.301583,12.0,0.1,H23m. Nadel,0.0,33.60287567,33.76615238,0.17458586,33.60067567,33.76395238,0.17458586,2.0147393,3.1449969,1.01755118,0.0,15.79296818,15.30947774,0.42299197,1260.10783757,1266.23071412,6.54696979,1260.02533757,1266.14821412,6.54696979,0.0,0.0,0.0,126.01078376,126.62307141,0.65469698,126.00253376,126.61482141,0.65469698,7.55527239,11.79373836,3.81581694,59.22363068,57.41054153,1.58621989,0.79358287,0.78980823,0.00404486,0.79363483,0.7898597,0.00404539,13.23579016,11.04859747,2.85160607,0.0022,50.0,1000
23,17.08.2020,12:51:10, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),12.037709,1997.0,66.947052,3.012405,69.759659,3.019809,130.995854,5.670648,3.75,2.299524,12.0,0.1,H23m. Nadel,0.0,33.52381172,33.76615238,0.17458586,33.52161172,33.76395238,0.17458586,1.5084652,3.1449969,1.01755118,0.0,16.00657326,15.30947774,0.42299197,1257.14293941,1266.23071412,6.54696979,1257.06043941,1266.14821412,6.54696979,0.0,0.0,0.0,125.71429394,126.62307141,0.65469698,125.70604394,126.61482141,0.65469698,5.65674449,11.79373836,3.81581694,60.02464972,57.41054153,1.58621989,0.79545449,0.78980823,0.00404486,0.7955067,0.7898597,0.00404539,17.67801253,11.04859747,2.85160607,0.0022,50.0,1000
24,17.08.2020,12:51:13, pp800a U=100V / t=30s / Ra=0.219,messung1 (5Zyklen),15.023472,499.4,14.544676,3.01405,17.357283,3.021454,130.336028,22.688133,3.75,2.869835,15.0,0.1,H23m. Nadel,0.0,29.12430116,28.7190831,0.13907296,29.12233449,28.71711644,0.13907296,6.03534241,3.14906809,1.01325415,0.0,11.54349604,12.78402417,0.43736878,1092.16129355,1076.96561638,5.21523615,1092.08754355,1076.89186638,5.21523615,0.0,0.0,0.0,109.21612936,107.69656164,0.52152361,109.20875436,107.68918664,0.52152361,22.63253404,11.80900533,3.79970308,43.28811016,47.94009065,1.64013293,0.91561567,0.92859955,0.00446054,0.91567751,0.92866315,0.00446115,4.41841819,11.02314732,2.84758547,0.00196667,50.0,1000
