,Datum,time,measurement,measurement,pressure_sample[bar],current[mA],voltage_th[mV],voltage_needle_th[mV],voltage[mV],voltage_needle[mV],R_ges / mOhm*cm²,R_bulk / mOhm*cm²,contact_area[cm2],p_Kraftsensor / ?,pressure_rounded[bar],sample_thickness[cm],parameters,[mV]_in_[V],main_resistance[mOhm],main_resistance_mean[mOhm],main_resistance_error[mOhm],flow_resistance[mOhm],flow_resistance_mean[mOhm],flow_resistance_error[mOhm],bulk_resistance[mOhm],bulk_resistance_mean[mOhm],bulk_resistance_error[mOhm],bulk_resistance_sub[mOhm],contact_resistance[mOhm],contact_resistance_mean[mOhm],contact_resistance_error[mOhm],vs_main_resistance[mOhm*cm],vs_main_resistance_mean[mOhm*cm],vs_main_resistance_error[mOhm*cm],vs_flow_resistance[mOhm*cm],vs_flow_resistance_mean[mOhm*cm],vs_flow_resistance_error[mOhm*cm],vs_bulk_resistance[mOhm*cm],vs_bulk_resistance_mean[mOhm*cm],vs_bulk_resistance_error[mOhm*cm],as_main_resistance[mOhm*cm2],as_main_resistance_mean[mOhm*cm2],as_main_resistance_error[mOhm*cm2],as_flow_resistance[mOhm*cm2],as_flow_resistance_mean[mOhm*cm2],as_flow_resistance_error[mOhm*cm2],as_bulk_resistance[mOhm*cm2],as_bulk_resistance_mean[mOhm*cm2],as_bulk_resistance_error[mOhm*cm2],as_contact_resistance[mOhm*cm2],as_contact_resistance_mean[mOhm*cm2],as_contact_resistance_error[mOhm*cm2],vs_main_conductance[S/cm],vs_main_conductance_mean[S/cm],vs_main_conductance_error[S/cm],vs_flow_conductance[S/cm],vs_flow_conductance_mean[S/cm],vs_flow_conductance_error[S/cm],vs_bulk_conductance[S/cm],vs_bulk_conductance_mean[S/cm],vs_bulk_conductance_error[S/cm],degradation_corr[mOhm],cycle,[mV] in [V]
0,08.12.2020,16:00:06, fem_Ni_2 ,5 zyklen,2.070685,499.9,29.228368,29.207798,29.712351,29.699515,246.661842,246.555283,4.15,0.437766,2.0,0.1,H23o. Nadel,0.0,58.46842969,56.62031758,0.66304685,58.46361302,56.61550091,0.66304685,0.0,0.0,0.0,0.0,29.23180651,28.30775045,0.33152343,2426.43983197,2349.74317942,27.5164443,2426.2399403,2349.54328775,27.5164443,0.0,0.0,0.0,242.6439832,234.97431794,2.75164443,242.62399403,234.95432878,2.75164443,0.0,0.0,0.0,121.31199701,117.47716439,1.37582222,0.41212644,0.4257511,0.00491566,0.41216039,0.42578735,0.00491649,inf,inf,,0.00481667,40.0,1000
1,08.12.2020,16:00:10, fem_Ni_2 ,5 zyklen,2.060421,999.0,56.577451,56.564451,57.061434,57.056168,237.041992,237.020116,4.15,0.435596,2.0,0.1,H23o. Nadel,0.0,56.63408509,56.62031758,0.66304685,56.62926842,56.61550091,0.66304685,0.0,0.0,0.0,0.0,28.31463421,28.30775045,0.33152343,2350.31453103,2349.74317942,27.5164443,2350.11463936,2349.54328775,27.5164443,0.0,0.0,0.0,235.0314531,234.97431794,2.75164443,235.01146394,234.95432878,2.75164443,0.0,0.0,0.0,117.50573197,117.47716439,1.37582222,0.42547497,0.4257511,0.00491566,0.42551116,0.42578735,0.00491649,inf,inf,,0.00481667,40.0,1000
2,08.12.2020,16:00:14, fem_Ni_2 ,5 zyklen,2.067295,1499.0,83.85547,83.844774,84.339453,84.336491,233.494817,233.486616,4.15,0.437049,2.0,0.1,H23o. Nadel,0.0,55.94094063,56.62031758,0.66304685,55.93612396,56.61550091,0.66304685,0.0,0.0,0.0,0.0,27.96806198,28.30775045,0.33152343,2321.54903602,2349.74317942,27.5164443,2321.34914436,2349.54328775,27.5164443,0.0,0.0,0.0,232.1549036,234.97431794,2.75164443,232.13491444,234.95432878,2.75164443,0.0,0.0,0.0,116.06745722,117.47716439,1.37582222,0.43074688,0.4257511,0.00491566,0.43078397,0.42578735,0.00491649,inf,inf,,0.00481667,40.0,1000
3,08.12.2020,16:00:17, fem_Ni_2 ,5 zyklen,2.070716,1999.0,110.820192,110.814762,111.304175,111.306479,231.071699,231.076482,4.15,0.437809,2.0,0.1,H23o. Nadel,0.0,55.43781491,56.62031758,0.66304685,55.43299824,56.61550091,0.66304685,0.0,0.0,0.0,0.0,27.71649912,28.30775045,0.33152343,2300.66931866,2349.74317942,27.5164443,2300.46942699,2349.54328775,27.5164443,0.0,0.0,0.0,230.06693187,234.97431794,2.75164443,230.0469427,234.95432878,2.75164443,0.0,0.0,0.0,115.02347135,117.47716439,1.37582222,0.43465612,0.4257511,0.00491566,0.43469389,0.42578735,0.00491649,inf,inf,,0.00481667,40.0,1000
4,08.12.2020,16:00:20, fem_Ni_2 ,5 zyklen,3.048388,499.9,22.907829,22.894499,23.391812,23.386216,194.190875,194.144426,4.15,0.644466,3.0,0.1,H23o. Nadel,0.0,45.82482296,44.85422499,0.35322509,45.82078963,44.85019166,0.35322509,0.0,0.0,0.0,0.0,22.91039482,22.42509583,0.17661255,1901.73015303,1861.45033712,14.65884128,1901.5627697,1861.28295379,14.65884128,0.0,0.0,0.0,190.1730153,186.14503371,1.46588413,190.15627697,186.12829538,1.46588413,0.0,0.0,0.0,95.07813848,93.06414769,0.73294206,0.52583696,0.53731462,0.00419539,0.52588325,0.53736296,0.00419614,inf,inf,,0.00403333,40.0,1000
5,08.12.2020,16:00:25, fem_Ni_2 ,5 zyklen,3.055914,999.0,44.842119,44.837017,45.326101,45.328734,188.291612,188.30255,4.15,0.646054,3.0,0.1,H23o. Nadel,0.0,44.88700601,44.85422499,0.35322509,44.88297267,44.85019166,0.35322509,0.0,0.0,0.0,0.0,22.44148634,22.42509583,0.17661255,1862.81074925,1861.45033712,14.65884128,1862.64336592,1861.28295379,14.65884128,0.0,0.0,0.0,186.28107492,186.14503371,1.46588413,186.26433659,186.12829538,1.46588413,0.0,0.0,0.0,93.1321683,93.06414769,0.73294206,0.53682319,0.53731462,0.00419539,0.53687143,0.53736296,0.00419614,inf,inf,,0.00403333,40.0,1000
6,08.12.2020,16:00:28, fem_Ni_2 ,5 zyklen,3.065976,1499.0,66.723107,66.714385,67.207089,67.206102,186.063656,186.060923,4.15,0.648175,3.0,0.1,H23o. Nadel,0.0,44.51174583,44.85422499,0.35322509,44.5077125,44.85019166,0.35322509,0.0,0.0,0.0,0.0,22.25385625,22.42509583,0.17661255,1847.23745197,1861.45033712,14.65884128,1847.07006863,1861.28295379,14.65884128,0.0,0.0,0.0,184.7237452,186.14503371,1.46588413,184.70700686,186.12829538,1.46588413,0.0,0.0,0.0,92.35350343,93.06414769,0.73294206,0.54134892,0.53731462,0.00419539,0.54139798,0.53736296,0.00419614,inf,inf,,0.00403333,40.0,1000
7,08.12.2020,16:00:31, fem_Ni_2 ,5 zyklen,3.067515,1999.0,88.342457,88.340647,88.82644,88.832364,184.407067,184.419366,4.15,0.648494,3.0,0.1,H23o. Nadel,0.0,44.19332516,44.85422499,0.35322509,44.18929183,44.85019166,0.35322509,0.0,0.0,0.0,0.0,22.09464591,22.42509583,0.17661255,1834.02299425,1861.45033712,14.65884128,1833.85561091,1861.28295379,14.65884128,0.0,0.0,0.0,183.40229942,186.14503371,1.46588413,183.38556109,186.12829538,1.46588413,0.0,0.0,0.0,91.69278055,93.06414769,0.73294206,0.54524943,0.53731462,0.00419539,0.5452992,0.53736296,0.00419614,inf,inf,,0.00403333,40.0,1000
8,08.12.2020,16:00:34, fem_Ni_2 ,5 zyklen,5.053077,499.9,16.820642,16.81192,17.304624,17.303637,143.657113,143.648916,4.15,1.068296,5.0,0.1,H23o. Nadel,0.0,33.6480136,33.03925462,0.22538625,33.64472194,33.03596295,0.22538625,0.0,0.0,0.0,0.0,16.82236097,16.51798148,0.11269312,1396.39256451,1371.12906676,9.35352918,1396.25596035,1370.9924626,9.35352918,0.0,0.0,0.0,139.63925645,137.11290668,0.93535292,139.62559603,137.09924626,0.93535292,0.0,0.0,0.0,69.81279802,68.54962313,0.46767646,0.716131,0.72942712,0.0049439,0.71620106,0.72949982,0.00494488,inf,inf,,0.00329167,40.0,1000
9,08.12.2020,16:00:39, fem_Ni_2 ,5 zyklen,5.054663,999.0,33.051498,33.044751,33.535481,33.536468,139.311557,139.315658,4.15,1.068645,5.0,0.1,H23o. Nadel,0.0,33.08458258,33.03925462,0.22538625,33.08129092,33.03596295,0.22538625,0.0,0.0,0.0,0.0,16.54064546,16.51798148,0.11269312,1373.01017718,1371.12906676,9.35352918,1372.87357301,1370.9924626,9.35352918,0.0,0.0,0.0,137.30101772,137.11290668,0.93535292,137.2873573,137.09924626,0.93535292,0.0,0.0,0.0,68.64367865,68.54962313,0.46767646,0.72832672,0.72942712,0.0049439,0.72839919,0.72949982,0.00494488,inf,inf,,0.00329167,40.0,1000
