,Datum,time,measurement,measurement,pressure_sample[bar],current[mA],voltage_th[mV],voltage_needle_th[mV],voltage[mV],voltage_needle[mV],R_ges / mOhm*cm²,R_bulk / mOhm*cm²,contact_area[cm2],p_Kraftsensor / ?,pressure_rounded[bar],sample_thickness[cm],parameters,[mV]_in_[V],main_resistance[mOhm],main_resistance_mean[mOhm],main_resistance_error[mOhm],flow_resistance[mOhm],flow_resistance_mean[mOhm],flow_resistance_error[mOhm],bulk_resistance[mOhm],bulk_resistance_mean[mOhm],bulk_resistance_error[mOhm],bulk_resistance_sub[mOhm],contact_resistance[mOhm],contact_resistance_mean[mOhm],contact_resistance_error[mOhm],vs_main_resistance[mOhm*cm],vs_main_resistance_mean[mOhm*cm],vs_main_resistance_error[mOhm*cm],vs_flow_resistance[mOhm*cm],vs_flow_resistance_mean[mOhm*cm],vs_flow_resistance_error[mOhm*cm],vs_bulk_resistance[mOhm*cm],vs_bulk_resistance_mean[mOhm*cm],vs_bulk_resistance_error[mOhm*cm],as_main_resistance[mOhm*cm2],as_main_resistance_mean[mOhm*cm2],as_main_resistance_error[mOhm*cm2],as_flow_resistance[mOhm*cm2],as_flow_resistance_mean[mOhm*cm2],as_flow_resistance_error[mOhm*cm2],as_bulk_resistance[mOhm*cm2],as_bulk_resistance_mean[mOhm*cm2],as_bulk_resistance_error[mOhm*cm2],as_contact_resistance[mOhm*cm2],as_contact_resistance_mean[mOhm*cm2],as_contact_resistance_error[mOhm*cm2],vs_main_conductance[S/cm],vs_main_conductance_mean[S/cm],vs_main_conductance_error[S/cm],vs_flow_conductance[S/cm],vs_flow_conductance_mean[S/cm],vs_flow_conductance_error[S/cm],vs_bulk_conductance[S/cm],vs_bulk_conductance_mean[S/cm],vs_bulk_conductance_error[S/cm],degradation_corr[mOhm],cycle,[mV] in [V]
0,01.09.2020,14:57:02, 1.4301-Referenz_I ,5Zyklen,1.960839,499.7,140.27331,0.033989,141.881202,0.034516,1064.747862,0.259028,3.75,0.374587,2.0,0.1,H23m. Nadel,0.0,280.71504903,178.30783622,37.188437,280.71018236,178.30296956,37.188437,0.06801881,0.03260861,0.01191301,0.0,140.32108178,89.13518047,18.5885002,10526.8143386,6686.54385839,1394.56638755,10526.6318386,6686.36135839,1394.56638755,0.0,0.0,0.0,1052.68143386,668.65438584,139.45663876,1052.66318386,668.63613584,139.45663876,0.25507054,0.12228228,0.04467378,526.20405666,334.25692678,69.70687576,0.0949955,0.16867085,0.03192582,0.09499715,0.1686766,0.03192782,392.04840782,1085.57499065,257.37081843,0.00486667,20.0,1000
1,01.09.2020,14:57:06, 1.4301-Referenz_I ,5Zyklen,1.995483,998.0,179.981317,0.023711,181.589209,0.024239,682.324181,0.091077,3.75,0.381222,2.0,0.1,H23m. Nadel,0.0,180.342001,178.30783622,37.188437,180.33713434,178.30296956,37.188437,0.02375852,0.03260861,0.01191301,0.0,90.15668791,89.13518047,18.5885002,6762.82503758,6686.54385839,1394.56638755,6762.64253758,6686.36135839,1394.56638755,0.0,0.0,0.0,676.28250376,668.65438584,139.45663876,676.26425376,668.63613584,139.45663876,0.08909444,0.12228228,0.04467378,338.08757966,334.25692678,69.70687576,0.1478672,0.16867085,0.03192582,0.14787119,0.1686766,0.03192782,1122.40450986,1085.57499065,257.37081843,0.00486667,20.0,1000
2,01.09.2020,14:57:10, 1.4301-Referenz_I ,5Zyklen,2.027372,1498.0,215.892069,0.033462,217.499961,0.033989,544.47587,0.085087,3.75,0.387363,2.0,0.1,H23m. Nadel,0.0,144.12020628,178.30783622,37.188437,144.11533961,178.30296956,37.188437,0.02233778,0.03260861,0.01191301,0.0,72.04650091,89.13518047,18.5885002,5404.50773531,6686.54385839,1394.56638755,5404.32523531,6686.36135839,1394.56638755,0.0,0.0,0.0,540.45077353,668.65438584,139.45663876,540.43252353,668.63613584,139.45663876,0.08376669,0.12228228,0.04467378,270.17437842,334.25692678,69.70687576,0.18503073,0.16867085,0.03192582,0.18503698,0.1686766,0.03192782,1193.79196302,1085.57499065,257.37081843,0.00486667,20.0,1000
3,01.09.2020,14:57:13, 1.4301-Referenz_I ,5Zyklen,2.054082,1998.0,215.892069,0.032606,217.499961,0.033133,408.220648,0.062186,3.75,0.392449,2.0,0.1,H23m. Nadel,0.0,108.05408859,178.30783622,37.188437,108.04922192,178.30296956,37.188437,0.01631932,0.03260861,0.01191301,0.0,54.0164513,89.13518047,18.5885002,4052.02832207,6686.54385839,1394.56638755,4051.84582207,6686.36135839,1394.56638755,0.0,0.0,0.0,405.20283221,668.65438584,139.45663876,405.18458221,668.63613584,139.45663876,0.06119745,0.12228228,0.04467378,202.56169238,334.25692678,69.70687576,0.24678998,0.16867085,0.03192582,0.2468011,0.1686766,0.03192782,1634.05508189,1085.57499065,257.37081843,0.00486667,20.0,1000
4,01.09.2020,14:57:16, 1.4301-Referenz_I ,5Zyklen,3.066063,499.7,82.243892,0.036361,83.851784,0.036888,629.26594,0.276827,3.75,0.585726,3.0,0.1,H23m. Nadel,0.0,164.58653592,139.14974823,11.65526205,164.58241925,139.14563156,11.65526205,0.07276566,0.03431313,0.01311054,0.0,82.2548268,69.55565922,5.82223056,6171.99509706,5218.11555856,437.07232705,6171.84072206,5217.96118356,437.07232705,0.0,0.0,0.0,617.19950971,521.81155586,43.7072327,617.18407221,521.79611836,43.7072327,0.27287122,0.12867422,0.04916451,308.45560049,260.83372207,21.83336461,0.16202216,0.19611389,0.01795391,0.16202622,0.19611998,0.01795506,366.47323598,1084.75666025,291.13775648,0.00411667,20.0,1000
5,01.09.2020,14:57:21, 1.4301-Referenz_I ,5Zyklen,3.059472,998.0,141.412975,0.028653,143.020867,0.02918,537.403057,0.109643,3.75,0.584464,3.0,0.1,H23m. Nadel,0.0,141.69636774,139.14974823,11.65526205,141.69225107,139.14563156,11.65526205,0.02871042,0.03431313,0.01311054,0.0,70.83177032,69.55565922,5.82223056,5313.61379008,5218.11555856,437.07232705,5313.45941508,5217.96118356,437.07232705,0.0,0.0,0.0,531.36137901,521.81155586,43.7072327,531.34594151,521.79611836,43.7072327,0.10766408,0.12867422,0.04916451,265.61913871,260.83372207,21.83336461,0.18819584,0.19611389,0.01795391,0.18820131,0.19611998,0.01795506,928.81490013,1084.75666025,291.13775648,0.00411667,20.0,1000
6,01.09.2020,14:57:24, 1.4301-Referenz_I ,5Zyklen,3.060969,1498.0,213.108477,0.030629,214.716368,0.031156,537.507598,0.077995,3.75,0.584766,3.0,0.1,H23m. Nadel,0.0,142.26200067,139.14974823,11.65526205,142.257884,139.14563156,11.65526205,0.0204466,0.03431313,0.01311054,0.0,71.1187187,69.55565922,5.82223056,5334.82502503,5218.11555856,437.07232705,5334.67065003,5217.96118356,437.07232705,0.0,0.0,0.0,533.4825025,521.81155586,43.7072327,533.467065,521.79611836,43.7072327,0.07667473,0.12867422,0.04916451,266.69519514,260.83372207,21.83336461,0.18744757,0.19611389,0.01795391,0.187453,0.19611998,0.01795506,1304.21060651,1084.75666025,291.13775648,0.00411667,20.0,1000
7,01.09.2020,14:57:27, 1.4301-Referenz_I ,5Zyklen,3.065822,1998.0,215.892069,0.030629,217.499961,0.031156,408.220648,0.058476,3.75,0.585664,3.0,0.1,H23m. Nadel,0.0,108.05408859,139.14974823,11.65526205,108.04997192,139.14563156,11.65526205,0.01532983,0.03431313,0.01311054,0.0,54.01732105,69.55565922,5.82223056,4052.02832207,5218.11555856,437.07232705,4051.87394707,5217.96118356,437.07232705,0.0,0.0,0.0,405.20283221,521.81155586,43.7072327,405.18739471,521.79611836,43.7072327,0.05748686,0.12867422,0.04916451,202.56495392,260.83372207,21.83336461,0.24678998,0.19611389,0.01795391,0.24679939,0.19611998,0.01795506,1739.5278984,1084.75666025,291.13775648,0.00411667,20.0,1000
8,01.09.2020,14:57:30, 1.4301-Referenz_I ,5Zyklen,5.055266,499.7,66.16625,0.029904,67.774142,0.030432,508.611233,0.228374,3.75,0.965738,5.0,0.1,H23m. Nadel,0.0,132.41194717,121.37671469,5.01660771,132.40863883,121.37340636,5.01660771,0.05984391,0.0278848,0.01084601,0.0,66.17439746,60.67276078,2.50380462,4965.44801881,4551.62680097,188.12278899,4965.32395631,4551.50273847,188.12278899,0.0,0.0,0.0,496.54480188,455.1626801,18.8122789,496.53239563,455.15027385,18.8122789,0.22441465,0.10456802,0.04067252,248.15399049,227.52285292,9.38926731,0.2013917,0.22087123,0.00945303,0.20139673,0.22087731,0.00945356,445.60370965,1343.45008798,362.25198247,0.00330833,20.0,1000
9,01.09.2020,14:57:35, 1.4301-Referenz_I ,5Zyklen,5.06585,998.0,122.039805,0.02213,123.647697,0.022657,464.608081,0.085135,3.75,0.967796,5.0,0.1,H23m. Nadel,0.0,122.28437375,121.37671469,5.01660771,122.28106541,121.37340636,5.01660771,0.02217435,0.0278848,0.01084601,0.0,61.12944553,60.67276078,2.50380462,4585.66401553,4551.62680097,188.12278899,4585.53995303,4551.50273847,188.12278899,0.0,0.0,0.0,458.56640155,455.1626801,18.8122789,458.5539953,455.15027385,18.8122789,0.08315381,0.10456802,0.04067252,229.23542075,227.52285292,9.38926731,0.21807093,0.22087123,0.00945303,0.21807683,0.22087731,0.00945356,1202.59075162,1343.45008798,362.25198247,0.00330833,20.0,1000
