,Datum,time,measurement,commentary,pressure_sample[bar],current[mA],voltage[mV],voltage_needle[mV],voltage_th[mV],voltage_needle_th[mV],R_ges / mOhm*cm²,R_bulk / mOhm*cm²,contact_area[cm2],pressure[bar],p_Kraftsensor / ?,Weg Bürster,Kraftsensor Poly,Probendicke Poly,Kraftsensor,Probendicke,U_ges 1,U_Nadel 1,U_ges 2,U_Nadel 2,Diff_U_ges/2,Diff_U_Nadel/2,Relais,pressure_rounded[bar],contact_resistance[mOhm*cm2],contact_resistance_error[mOhm*cm2],contact_resistance_mean[mOhm*cm2],resistance[mOhm*cm2],resistance_mean[mOhm*cm2],resistance_error[mOhm*cm2],bulk_resistance[mOhm*cm2],bulk_resistance_mean[mOhm*cm2],bulk_resistance_error[mOhm*cm2],bulk_resistance_sub[mOhm*cm2],volume_resistance[mOhm*cm2],volume_resistance_mean[mOhm*cm2],volume_resistance_error[mOhm*cm2],degradation_corr[mOhm*cm2],cycle
0,24.06.2020,15:18:46,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),0.99,499.6,3.28,3.28,3.24,3.23,27.25,27.25,4.15,0.21,-5428.12,2453.92,0.0,0.0,-59.54,17099.65,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,1.0,13.44,0.0,13.44,26.88,26.87,0.01,0.0,0.0,0.0,0.0,26.88,26.87,0.01,0.0,1.0
1,24.06.2020,15:18:50,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),1.0,998.0,6.51,6.52,6.46,6.47,27.06,27.09,4.15,0.21,-5428.81,2462.24,0.0,0.0,-59.54,16921.75,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,1.0,13.44,0.0,13.44,26.88,26.87,0.01,0.0,0.0,0.0,0.0,26.88,26.87,0.01,0.0,1.0
2,24.06.2020,15:18:53,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),1.0,1498.0,9.74,9.74,9.69,9.7,26.98,26.99,4.15,0.21,-5426.87,2462.16,0.0,0.0,-59.52,16923.51,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,1.0,13.43,0.0,13.44,26.86,26.87,0.01,0.0,0.0,0.0,0.0,26.86,26.87,0.01,0.0,1.0
3,24.06.2020,15:18:56,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),1.0,1997.0,12.97,12.96,12.93,12.92,26.96,26.94,4.15,0.21,-5425.68,2462.03,0.0,0.0,-59.51,16926.19,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,1.0,13.43,0.0,13.44,26.87,26.87,0.01,0.0,0.0,0.0,0.0,26.87,26.87,0.01,0.0,1.0
4,24.06.2020,15:18:59,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),1.94,499.6,2.62,2.61,2.58,2.57,21.76,21.7,4.15,0.41,-5246.23,2466.29,0.0,0.0,-57.31,16835.11,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,2.0,10.7,0.04,10.58,21.39,21.16,0.08,0.0,0.0,0.0,0.0,21.39,21.16,0.08,0.0,1.0
5,24.06.2020,15:19:04,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),2.02,998.0,5.12,5.13,5.08,5.09,21.31,21.35,4.15,0.43,-5227.83,2474.82,0.0,0.0,-57.09,16652.7,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,2.0,10.56,0.04,10.58,21.12,21.16,0.08,0.0,0.0,0.0,0.0,21.12,21.16,0.08,0.0,1.0
6,24.06.2020,15:19:07,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),2.04,1498.0,7.65,7.64,7.61,7.59,21.2,21.17,4.15,0.43,-5230.21,2474.82,0.0,0.0,-57.12,16652.7,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,2.0,10.54,0.04,10.58,21.08,21.16,0.08,0.0,0.0,0.0,0.0,21.08,21.16,0.08,0.0,1.0
7,24.06.2020,15:19:10,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),2.04,1997.0,10.16,10.17,10.12,10.12,21.12,21.13,4.15,0.43,-5226.27,2474.95,0.0,0.0,-57.07,16649.99,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,2.0,10.52,0.04,10.58,21.03,21.16,0.08,0.0,0.0,0.0,0.0,21.03,21.16,0.08,0.0,1.0
8,24.06.2020,15:19:14,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),3.04,499.6,2.15,2.15,2.11,2.1,17.86,17.85,4.15,0.64,-5006.39,2522.9,0.0,0.0,-54.41,15624.23,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,3.0,8.75,0.0,8.74,17.49,17.49,0.01,0.0,0.0,0.0,0.0,17.49,17.49,0.01,0.0,1.0
9,24.06.2020,15:19:18,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),3.03,998.0,4.25,4.26,4.21,4.21,17.69,17.71,4.15,0.64,-5003.89,2531.43,0.0,0.0,-54.38,15441.93,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,3.0,8.75,0.0,8.74,17.5,17.49,0.01,0.0,0.0,0.0,0.0,17.5,17.49,0.01,0.0,1.0
10,24.06.2020,15:19:21,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),3.04,1498.0,6.35,6.36,6.31,6.31,17.6,17.61,4.15,0.64,-5006.58,2531.31,0.0,0.0,-54.41,15444.5,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,3.0,8.74,0.0,8.74,17.48,17.49,0.01,0.0,0.0,0.0,0.0,17.48,17.49,0.01,0.0,1.0
11,24.06.2020,15:19:25,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),3.04,1998.0,8.45,8.44,8.41,8.4,17.56,17.54,4.15,0.64,-5005.7,2531.3,0.0,0.0,-54.4,15444.64,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,3.0,8.73,0.0,8.74,17.47,17.49,0.01,0.0,0.0,0.0,0.0,17.47,17.49,0.01,0.0,1.0
12,24.06.2020,15:19:28,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),5.03,499.6,1.73,1.74,1.69,1.69,14.39,14.45,4.15,1.06,-4593.99,2571.04,0.0,0.0,-49.5,14594.74,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,5.0,7.01,0.01,7.02,14.02,14.05,0.01,0.0,0.0,0.0,0.0,14.02,14.05,0.01,0.0,1.0
13,24.06.2020,15:19:32,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),5.03,998.0,3.43,3.42,3.38,3.38,14.26,14.23,4.15,1.06,-4595.37,2579.7,0.0,0.0,-49.52,14409.38,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,5.0,7.04,0.01,7.02,14.07,14.05,0.01,0.0,0.0,0.0,0.0,14.07,14.05,0.01,0.0,1.0
14,24.06.2020,15:19:36,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),5.02,1498.0,5.12,5.11,5.07,5.07,14.17,14.16,4.15,1.06,-4594.18,2579.65,0.0,0.0,-49.5,14410.54,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,5.0,7.02,0.01,7.02,14.05,14.05,0.01,0.0,0.0,0.0,0.0,14.05,14.05,0.01,0.0,1.0
15,24.06.2020,15:19:39,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),5.02,1998.0,6.81,6.81,6.76,6.76,14.14,14.14,4.15,1.06,-4599.75,2579.62,0.0,0.0,-49.57,14411.21,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,5.0,7.02,0.01,7.02,14.04,14.05,0.01,0.0,0.0,0.0,0.0,14.04,14.05,0.01,0.0,1.0
16,24.06.2020,15:19:42,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),6.03,499.6,1.6,1.59,1.56,1.55,13.31,13.23,4.15,1.27,-4382.82,2599.45,0.0,0.0,-47.02,13986.99,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,6.0,6.47,0.01,6.45,12.94,12.89,0.02,0.0,0.0,0.0,0.0,12.94,12.89,0.02,0.0,1.0
17,24.06.2020,15:19:47,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),6.03,998.0,3.15,3.14,3.1,3.1,13.08,13.08,4.15,1.27,-4385.07,2608.24,0.0,0.0,-47.05,13799.03,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,6.0,6.45,0.01,6.45,12.9,12.89,0.02,0.0,0.0,0.0,0.0,12.9,12.89,0.02,0.0,1.0
18,24.06.2020,15:19:50,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),6.03,1498.0,4.69,4.69,4.65,4.65,12.99,13.0,4.15,1.27,-4385.32,2608.16,0.0,0.0,-47.05,13800.79,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,6.0,6.44,0.01,6.45,12.87,12.89,0.02,0.0,0.0,0.0,0.0,12.87,12.89,0.02,0.0,1.0
19,24.06.2020,15:19:53,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),6.03,1997.0,6.23,6.23,6.19,6.19,12.96,12.95,4.15,1.27,-4388.39,2608.19,0.0,0.0,-47.09,13800.08,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,6.0,6.43,0.01,6.45,12.86,12.89,0.02,0.0,0.0,0.0,0.0,12.86,12.89,0.02,0.0,1.0
20,24.06.2020,15:19:56,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),9.02,499.6,1.33,1.33,1.29,1.28,11.07,11.03,4.15,1.91,-3760.05,2681.39,0.0,0.0,-39.85,12234.46,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,9.0,5.35,0.01,5.34,10.71,10.67,0.01,0.0,0.0,0.0,0.0,10.71,10.67,0.01,0.0,1.0
21,24.06.2020,15:20:01,Referenz I o. Nadel Referenz I (60 Zyklen),Referenz I (60 Zyklen),9.02,998.0,2.61,2.61,2.57,2.57,10.86,10.87,4.15,1.91,-3758.05,2690.39,0.0,0.0,-39.82,12041.99,-6.35,-6.35,6.44,6.45,0.04,0.05,0.0,9.0,5.34,0.01,5.34,10.68,10.67,0.01,0.0,0.0,0.0,0.0,10.68,10.67,0.01,0.0,1.0
