Datum	Uhrzeit	Kommentar	p_Probe_Ist / bar	I_Ist / mA	U_ges / mV	U_Nadel / mV	U_ges-Th_U	U_Nadel-Th_U	R_ges / mOhm*cm²	R_bulk / mOhm*cm²	Anpressfläche / cm²	p_Ist / bar	p_Kraftsensor / ?	Weg Bürster	Kraftsensor Poly	Probendicke Poly	Kraftsensor	Probendicke	U_ges 1	U_Nadel 1	U_ges 2	U_Nadel 2	Diff_U_ges/2	Diff_U_Nadel/2	Relais	
22.06.2020	14:27:37	Einfahren 15 Zyklen	2,740422	0,000000	217,499961	99,647914	217,452397	99,647815	Inf	Inf	3,750000	0,692170	-5885,082380	1814,350353	0,000000	0,000000	-65,211278	30779,177115	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:27:42	Einfahren 15 Zyklen	3,434421	0,000000	217,499961	217,499961	217,452397	217,499862	Inf	Inf	3,750000	0,648849	-6101,766052	154,741411	0,000000	0,000000	-67,949656	66275,796477	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:27:45	Einfahren 15 Zyklen	3,017739	499,800000	2,342014	0,054611	2,294450	0,054512	17,572137	0,409744	3,750000	0,576478	-5074,803050	2484,566829	0,000000	0,000000	-55,236617	16444,222325	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:27:55	Einfahren 15 Zyklen	1,022980	499,800000	3,824653	0,048549	3,777089	0,048451	28,696380	0,364267	3,750000	0,195424	-5453,279742	2454,275006	0,000000	0,000000	-59,845309	17092,120323	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:27:59	Einfahren 15 Zyklen	1,031723	998,000000	7,565578	0,053227	7,518013	0,053128	28,427772	0,200002	3,750000	0,197094	-5450,838764	2462,539851	0,000000	0,000000	-59,815308	16915,347335	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:28:03	Einfahren 15 Zyklen	1,038504	1498,000000	11,302881	0,049406	11,255317	0,049307	28,294929	0,123680	3,750000	0,198399	-5449,524392	2462,590858	0,000000	0,000000	-59,799155	16914,256361	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:28:06	Einfahren 15 Zyklen	1,042152	1998,000000	15,032742	0,044992	14,985177	0,044893	28,214605	0,084444	3,750000	0,199106	-5449,774749	2462,511879	0,000000	0,000000	-59,802232	16915,945611	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:28:09	Einfahren 15 Zyklen	3,038046	499,800000	2,330748	0,055138	2,283184	0,055039	17,487608	0,413699	3,750000	0,580377	-5075,178585	2485,320423	0,000000	0,000000	-55,241148	16428,104053	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:28:14	Einfahren 15 Zyklen	3,028426	998,000000	4,625861	0,045321	4,578297	0,045222	17,381743	0,170295	3,750000	0,578516	-5075,241174	2493,726779	0,000000	0,000000	-55,241903	16248,304346	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:28:17	Einfahren 15 Zyklen	3,025896	1498,000000	6,913135	0,052041	6,865570	0,051942	17,305911	0,130277	3,750000	0,577980	-5077,431795	2493,667544	0,000000	0,000000	-55,268335	16249,571285	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:28:20	Einfahren 15 Zyklen	3,031386	1998,000000	9,195599	0,052107	9,148035	0,052008	17,259008	0,097799	3,750000	0,579108	-5077,244027	2493,767914	0,000000	0,000000	-55,266069	16247,424528	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:28:23	Einfahren 15 Zyklen	5,026095	499,800000	1,873254	0,044531	1,825690	0,044432	14,055030	0,334113	3,750000	0,960175	-4695,637858	2542,267800	0,000000	0,000000	-50,703118	15210,082563	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:28:28	Einfahren 15 Zyklen	5,028401	998,000000	3,694402	0,045058	3,646838	0,044959	13,881771	0,169305	3,750000	0,960596	-4697,891068	2550,886425	0,000000	0,000000	-50,729821	15025,742717	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:28:31	Einfahren 15 Zyklen	5,025889	1498,000000	5,519635	0,053359	5,472071	0,053260	13,817511	0,133575	3,750000	0,960152	-4699,706154	2550,810736	0,000000	0,000000	-50,751333	15027,361585	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:28:34	Einfahren 15 Zyklen	5,031172	1998,000000	7,343090	0,053754	7,295525	0,053655	13,782075	0,100890	3,750000	0,961172	-4699,643565	2550,786055	0,000000	0,000000	-50,750591	15027,889477	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
22.06.2020	14:28:38	Einfahren 15 Zyklen	8,025394	499,800000	1,516496	0,048484	1,468932	0,048385	11,378272	0,363772	3,750000	1,533203	-4139,345278	2623,672587	0,000000	0,000000	-44,194105	13468,952665	-7,014009	0,047166	7,109138	0,046968	0,047564	0,000099	0,000000
